Lufthygienisches ‹berwachungssystem Niedersachsen;
Ostfriesische Inseln;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Schwefeldioxid;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;UV-Index;;
28.12.2018;19:00;15,310; ;19,245;;19,592;;26,402;;-0,6811;E;6,46;;1027,1;;232,0;;3,54;;100,0;;0;;0,0;;0,0;;
28.12.2018;20:00;15,294; ;33,909;;35,271;;10,302;;-0,1877;E;6,43;;1027,1;;225,4;;3,70;;100,0;;0;;0,0;;0,0;;
28.12.2018;21:00;15,279; ;21,708;;21,999;;23,832;;-0,6122;E;6,45;;1027,2;;237,4;;3,09;;100,0;;10;;0,0;;0,0;;
28.12.2018;22:00;14,955; ;9,426;;9,578;;48,030;;-0,5947;E;6,88;;1027,6;;260,7;;3,39;;100,0;;0;;0,0;;0,0;;
28.12.2018;23:00;14,590; ;8,549;;8,696;;47,641;;-0,4973;E;7,22;;1027,8;;257,9;;4,08;;99,9;;0;;0,0;;0,0;;
29.12.2018;00:00;14,147; ;7,477;;7,612;;51,773;;-0,2952;E;7,53;;1027,3;;248,3;;4,01;;99,3;;0;;0,0;;0,0;;
29.12.2018;01:00;13,742; ;8,844;;8,955;;46,272;;-0,4121;E;7,55;;1027,2;;258,7;;4,56;;98,6;;0;;0,0;;0,0;;
29.12.2018;02:00;13,354; ;6,774;;6,872;;45,128;;-0,3326;E;7,53;;1027,3;;258,7;;4,32;;99,4;;0;;0,0;;0,0;;
29.12.2018;03:00;13,113; ;7,536;;7,645;;42,219;;-0,5305;E;7,22;;1027,6;;261,8;;3,70;;99,9;;0;;0,2;;0,0;;
29.12.2018;04:00;12,975; ;10,113;;10,289;;;*;-0,8309;E;7,66;;1027,7;;254,7;;4,29;;100,0;;0;;0,1;;0,0;;
29.12.2018;05:00;12,817; ;;*;;*;39,541;;;*;7,40;;1027,2;;262,6;;4,14;;100,0;;0;;0,0;;0,0;;
29.12.2018;06:00;12,645; ;6,989;;7,077;;52,936;;-0,4652;E;7,44;;1026,9;;262,2;;4,08;;98,8;;0;;0,0;;0,0;;
29.12.2018;07:00;12,765; ;13,112;;13,286;;35,232;;-0,3556;E;7,15;;1026,8;;238,2;;3,83;;99,1;;0;;0,0;;0,0;;
29.12.2018;08:00;13,147; ;14,206;;14,475;;30,932;;-0,4269;E;7,42;;1026,9;;237,4;;4,05;;100,0;;0;;0,1;;0,0;;
29.12.2018;09:00;13,532; ;9,519;;9,727;;30,828;;-0,5467;E;6,83;;1026,1;;220,9;;5,20;;100,0;;0;;1,2;;0,0;;
29.12.2018;10:00;14,087; ;8,306;;8,686;;32,897;;-0,6256;E;7,07;;1025,5;;218,3;;6,16;;100,0;;0;;11,3;;0,0;;
29.12.2018;11:00;14,640; ;7,780;;8,341;;34,179;;-0,6465;E;7,13;;1024,9;;218,8;;6,05;;100,0;;0;;27,8;;0,1;;
29.12.2018;12:00;14,963; ;10,512;;11,524;;34,783;;-0,4784;E;7,49;;1023,7;;216,7;;7,02;;99,7;;0;;47,6;;0,2;;
29.12.2018;13:00;15,077; ;14,884;;16,510;;34,503;;-0,4438;E;7,79;;1022,6;;223,1;;7,81;;99,2;;0;;48,0;;0,2;;
29.12.2018;14:00;15,170; ;18,419;;19,360;;36,817;;-0,3605;E;7,65;;1021,1;;221,9;;7,91;;99,9;;17;;18,2;;0,1;;
29.12.2018;15:00;15,069; ;15,413;;15,993;;41,810;;-0,0049;E;7,42;;1019,9;;223,9;;7,74;;100,0;;48;;12,7;;0,0;;
29.12.2018;16:00;14,668; ;10,666;;10,982;;51,589;;-0,1127;E;7,61;;1019,1;;232,0;;6,97;;100,0;;3;;5,8;;0,0;;
29.12.2018;17:00;14,465; ;5,689;;5,790;;60,608;;0,0410;E;8,50;;1018,5;;240,7;;8,34;;99,5;;1;;1,3;;0,0;;
29.12.2018;18:00;14,474; ;5,227;;5,335;;64,377;;0,0940;E;8,40;;1017,7;;252,0;;8,02;;98,6;;12;;0,0;;0,0;;
29.12.2018;19:00;14,298; ;3,092;;3,158;;72,616;;-0,1333;E;7,53;;1017,7;;274,9;;6,08;;99,8;;45;;0,2;;0,0;;
29.12.2018;20:00;14,064; ;2,043;;2,062;;76,715;;0,0440;E;7,10;;1017,9;;281,0;;5,11;;97,7;;40;;0,5;;0,0;;
29.12.2018;21:00;14,043; ;2,254;;2,274;;75,196;;-0,2975;E;7,18;;1018,0;;290,5;;5,63;;99,1;;26;;0,2;;0,0;;
29.12.2018;22:00;14,359; ;2,388;;2,420;;75,465;;-0,1675;E;7,19;;1018,3;;292,5;;6,31;;99,2;;41;;0,1;;0,0;;
29.12.2018;23:00;14,675; ;3,490;;3,527;;73,102;;-0,4760;E;7,14;;1019,3;;307,4;;9,15;;99,8;;49;;0,4;;0,0;;
30.12.2018;00:00;15,001; ;3,116;;3,138;;75,606;;-0,4254;E;7,22;;1021,1;;321,5;;10,51;;94,2;;3;;0,4;;0,0;;
30.12.2018;01:00;15,388; ;4,874;;4,876;;77,467;;-0,0672;E;7,15;;1022,7;;318,2;;8,55;;90,3;;0;;0,0;;0,0;;
30.12.2018;02:00;15,813; ;1,770;E;1,779;E;82,066;;-0,2619;E;7,02;;1024,1;;316,6;;7,83;;89,4;;0;;0,0;;0,0;;
30.12.2018;03:00;16,321; ;2,075;;2,066;;83,989;;-0,4592;E;6,74;;1025,2;;315,2;;6,81;;90,1;;0;;0,0;;0,0;;
30.12.2018;04:00;16,976; ;2,774;;2,788;;82,991;;-0,4074;E;6,94;;1026,3;;312,7;;6,11;;90,3;;0;;0,0;;0,0;;
30.12.2018;05:00;17,564; ;4,283;;4,331;;;*;-0,4682;E;7,18;;1026,8;;310,0;;5,51;;89,0;;0;;0,0;;0,0;;
30.12.2018;06:00;18,388; ;5,991;;6,058;;77,791;;-0,3574;E;7,15;;1027,2;;303,3;;4,63;;92,9;;3;;0,0;;0,0;;
30.12.2018;07:00;18,922; ;4,026;;4,063;;79,965;;-0,7922;E;7,23;;1027,9;;303,5;;4,51;;92,4;;0;;0,0;;0,0;;
30.12.2018;08:00;19,394; ;3,617;;3,657;;80,068;;-0,4463;E;7,14;;1028,3;;296,5;;3,90;;93,9;;3;;0,0;;0,0;;
30.12.2018;09:00;19,775; ;1,704;E;1,752;E;81,401;;-0,5615;E;7,08;;1028,4;;275,9;;2,91;;93,6;;0;;1,0;;0,0;;
30.12.2018;10:00;19,977; ;4,715;;4,844;;76,632;;-0,4160;E;7,08;;1028,8;;263,7;;3,50;;94,3;;0;;18,6;;0,1;;
30.12.2018;11:00;19,876; ;3,603;;3,787;;77,347;;-0,4572;E;7,45;;1029,0;;262,3;;4,30;;95,5;;0;;80,7;;0,2;;
30.12.2018;12:00;19,910; ;2,946;;3,171;;77,116;;-0,4216;E;7,88;;1029,2;;262,2;;4,71;;94,4;;0;;146,4;;0,4;;
30.12.2018;13:00;19,957; ;4,264;;4,788;;75,710;;-0,4109;E;8,20;;1029,3;;259,6;;4,49;;92,9;;0;;183,0;;0,4;;
30.12.2018;14:00;20,121; ;4,123;;4,600;;75,017;;-0,6070;E;8,20;;1029,2;;262,6;;3,88;;92,9;;0;;156,5;;0,4;;
30.12.2018;15:00;20,467; ;9,094;;10,124;;67,972;;-0,5185;E;8,15;;1029,1;;261,0;;3,96;;93,1;;0;;131,7;;0,3;;
30.12.2018;16:00;20,909; ;5,680;;5,948;;71,079;;-0,4696;E;7,67;;1029,0;;254,4;;3,60;;94,7;;0;;43,8;;0,1;;
30.12.2018;17:00;21,469; ;6,697;;6,832;;68,060;;-0,4019;E;7,12;;1029,2;;247,0;;3,17;;96,0;;0;;1,3;;0,0;;
30.12.2018;18:00;21,972; ;8,986;;9,134;;61,641;;-0,5456;E;6,64;;1029,3;;242,4;;2,58;;98,3;;0;;0,0;;0,0;;
30.12.2018;19:00;22,627; ;7,764;;7,894;;60,857;;-0,7787;E;6,66;;1029,5;;241,7;;1,97;;99,2;;0;;0,0;;0,0;;
30.12.2018;20:00;22,926; ;6,222;;6,337;;57,217;;-0,4684;E;5,91;;1029,6;;231,7;;2,10;;99,8;;0;;0,0;;0,0;;
30.12.2018;21:00;22,877; ;5,719;;5,843;;55,465;;-0,5720;E;5,85;;1029,4;;232,5;;1,91;;100,0;;0;;0,0;;0,0;;
30.12.2018;22:00;22,644; ;5,886;;6,010;;52,549;;-0,7495;E;6,32;;1029,2;;222,8;;2,19;;100,0;;0;;0,0;;0,0;;
30.12.2018;23:00;22,586; ;;*;;*;52,522;;;*;6,57;;1029,0;;230,7;;2,93;;100,0;;0;;0,0;;0,0;;
31.12.2018;00:00;22,330; ;4,507;;4,622;;52,531;;-0,8096;E;6,56;;1028,9;;222,8;;2,66;;100,0;;0;;0,1;;0,0;;
31.12.2018;01:00;22,052; ;4,410;;4,503;;46,518;;-0,7734;E;6,76;;1028,9;;222,5;;3,11;;100,0;;11;;0,2;;0,0;;
31.12.2018;02:00;21,830; ;7,405;;7,526;;41,001;;-1,0275;E;7,26;;1029,0;;253,7;;2,60;;100,0;;0;;0,2;;0,0;;
31.12.2018;03:00;21,419; ;10,028;;10,169;;40,515;;-0,8656;E;7,42;;1029,2;;270,8;;2,63;;100,0;;0;;0,3;;0,0;;
31.12.2018;04:00;20,708; ;6,010;;6,099;;48,569;;-0,7486;E;7,29;;1029,3;;279,5;;2,14;;100,0;;0;;0,3;;0,0;;
31.12.2018;05:00;19,920; ;5,546;;5,642;;54,154;;-0,7393;E;7,24;;1029,2;;289,2;;1,93;;100,0;;0;;0,2;;0,0;;
31.12.2018;06:00;18,902; ;5,006;;5,092;;59,635;;-0,9598;E;7,38;;1029,3;;290,8;;1,86;;100,0;;0;;0,2;;0,0;;
31.12.2018;07:00;18,355; ;9,456;;9,552;;53,796;;-0,5963;E;7,29;;1029,7;;281,8;;1,65;;100,0;;0;;0,0;;0,0;;
31.12.2018;08:00;17,843; ;9,414;;9,541;;51,402;;-0,9130;E;7,20;;1029,9;;265,4;;1,71;;100,0;;0;;0,0;;0,0;;
31.12.2018;09:00;17,543; ;4,997;;5,091;;55,926;;-0,5024;E;7,37;;1030,5;;266,2;;1,57;;100,0;;0;;1,0;;0,0;;
31.12.2018;10:00;17,108; ;5,348;;5,564;;54,449;;-1,1333;E;7,37;;1030,8;;231,6;;1,77;;100,0;;0;;22,2;;0,1;;
31.12.2018;11:00;16,908; ;6,354;;6,829;;52,722;;-0,7466;E;7,81;;1030,9;;239,1;;1,97;;100,0;;0;;75,7;;0,2;;
31.12.2018;12:00;16,785; ;5,117;;5,594;;57,034;;-0,6086;E;8,09;;1030,8;;262,3;;3,63;;100,0;;0;;102,9;;0,3;;
31.12.2018;13:00;16,464; ;8,975;;10,292;;53,595;;-1,0519;E;7,57;;1030,4;;268,8;;3,60;;100,0;;0;;101,8;;0,3;;
31.12.2018;14:00;15,921; ;5,467;;6,062;;56,062;;-0,6675;E;7,43;;1029,9;;265,0;;3,41;;100,0;;0;;94,0;;0,3;;
31.12.2018;15:00;15,705; ;4,969;;5,467;;55,723;;-0,6765;E;7,78;;1029,8;;258,1;;4,33;;100,0;;0;;92,5;;0,3;;
31.12.2018;16:00;15,590; ;8,001;;8,473;;54,048;;-0,5541;E;7,78;;1029,7;;255,4;;4,99;;100,0;;0;;47,3;;0,1;;
31.12.2018;17:00;15,181; ;9,440;;9,624;;50,333;;-0,9201;E;7,45;;1029,6;;244,3;;4,60;;100,0;;0;;1,7;;0,0;;
31.12.2018;18:00;14,689; ;6,382;;6,471;;54,790;;-0,7298;E;7,18;;1029,2;;248,7;;5,71;;100,0;;0;;0,1;;0,0;;
31.12.2018;19:00;14,039; ;5,012;;5,052;;58,238;;-0,5688;E;7,57;;1028,9;;244,0;;5,43;;100,0;;0;;0,3;;0,0;;
31.12.2018;20:00;13,722; ;5,357;;5,438;;55,619;;-0,5641;E;7,77;;1028,4;;238,2;;5,99;;99,6;;0;;0,1;;0,0;;
31.12.2018;21:00;13,602; ;4,772;;4,859;;55,718;;-0,3468;E;7,39;;1028,2;;235,1;;5,32;;99,8;;0;;0,0;;0,0;;
31.12.2018;22:00;13,502; ;4,992;;5,062;;59,864;;-0,8962;E;7,87;;1027,8;;241,5;;6,21;;95,7;;0;;0,0;;0,0;;
31.12.2018;23:00;13,249; ;5,420;;5,491;;;*;-0,4986;E;7,99;;1027,0;;242,2;;6,34;;91,1;;0;;0,0;;0,0;;
01.01.2019;00:00;13,292; ;;*;;*;64,913;;;*;7,96;;1026,3;;242,2;;6,02;;89,0;;0;;0,0;;0,0;;
01.01.2019;01:00;13,330; ;4,560;;4,675;;63,465;;-0,3101;E;7,92;;1025,3;;238,4;;6,31;;89,7;;0;;0,0;;0,0;;
01.01.2019;02:00;13,311; ;5,239;;5,327;;61,179;;-0,5351;E;7,91;;1024,7;;240,5;;6,95;;90,7;;0;;0,0;;0,0;;
01.01.2019;03:00;13,438; ;4,976;;5,063;;61,370;;0,1664;E;7,94;;1024,0;;242,4;;7,60;;91,1;;0;;0,0;;0,0;;
01.01.2019;04:00;13,892; ;4,172;;4,266;;63,633;;-0,0876;E;7,96;;1023,3;;246,1;;8,19;;92,2;;0;;0,0;;0,0;;
01.01.2019;05:00;14,615; ;6,256;;6,370;;60,622;;-0,1117;E;7,85;;1022,5;;248,9;;8,20;;94,7;;0;;0,0;;0,0;;
01.01.2019;06:00;15,448; ;6,198;;6,303;;60,299;;0,1494;E;7,67;;1021,7;;256,3;;7,51;;98,5;;2;;0,0;;0,0;;
01.01.2019;07:00;15,900; ;4,468;;4,525;;62,169;;0,1325;E;7,54;;1021,5;;266,6;;5,86;;100,0;;37;;0,1;;0,0;;
01.01.2019;08:00;16,560; ;1,914;E;1,969;E;71,243;;-0,2004;E;7,37;;1021,8;;293,7;;4,71;;99,3;;2;;0,0;;0,0;;
01.01.2019;09:00;17,273; ;2,260;;2,286;;79,563;;-0,1246;E;7,17;;1021,9;;297,4;;5,55;;89,1;;0;;0,7;;0,0;;
01.01.2019;10:00;18,036; ;1,459;E;1,527;E;77,347;;-0,3709;E;7,24;;1022,0;;292,7;;5,55;;85,0;;0;;24,2;;0,1;;
01.01.2019;11:00;18,749; ;1,016;E;1,077;E;76,199;;-0,2361;E;7,44;;1022,3;;295,8;;5,43;;84,2;;0;;76,1;;0,2;;
01.01.2019;12:00;19,477; ;1,317;E;1,437;E;75,905;;-0,3777;E;7,67;;1022,6;;299,0;;5,59;;82,3;;0;;107,8;;0,3;;
01.01.2019;13:00;20,678; ;0,767;E;0,789;E;77,604;;-0,1833;E;7,59;;1022,3;;295,1;;6,19;;81,3;;7;;108,9;;0,3;;
01.01.2019;14:00;21,715; ;2,249;;2,489;;79,065;;0,0835;E;6,81;;1022,0;;301,6;;8,15;;81,0;;5;;129,5;;0,3;;
01.01.2019;15:00;22,353; ;1,257;E;1,309;E;82,444;;0,1365;E;5,91;;1021,9;;307,3;;9,71;;86,4;;22;;63,3;;0,2;;
01.01.2019;16:00;23,234; ;0,883;E;0,933;E;83,803;;-0,6156;E;5,85;;1022,0;;307,1;;8,47;;81,8;;0;;26,1;;0,1;;
01.01.2019;17:00;24,037; ;1,060;E;1,097;E;83,034;;-0,1573;E;5,46;;1022,3;;313,5;;9,78;;79,9;;3;;2,8;;0,0;;
01.01.2019;18:00;25,078; ;0,695;E;0,701;E;82,327;;-0,4495;E;6,03;;1023,1;;318,3;;10,39;;71,2;;0;;0,0;;0,0;;
01.01.2019;19:00;25,873; ;0,753;E;0,755;E;80,643;;-0,1872;E;5,86;;1023,8;;320,8;;10,41;;71,9;;0;;0,0;;0,0;;
01.01.2019;20:00;26,630; ;0,694;E;0,691;E;81,832;;-0,2163;E;4,40;;1024,2;;323,0;;11,07;;84,1;;15;;0,1;;0,0;;
01.01.2019;21:00;27,483; ;0,678;E;0,702;E;85,297;;-0,1067;E;5,88;;1024,4;;321,2;;11,39;;67,2;;0;;0,0;;0,0;;
01.01.2019;22:00;28,433; ;0,640;E;0,662;E;83,124;;-0,6375;E;5,83;;1024,9;;322,7;;11,31;;70,1;;2;;0,0;;0,0;;
01.01.2019;23:00;29,534; ;0,626;E;0,647;E;80,888;;-0,1996;E;6,26;;1025,2;;321,6;;10,75;;69,7;;0;;0,0;;0,0;;
02.01.2019;00:00;30,585; ;0,617;E;0,615;E;;*;0,0038;E;6,46;;1025,6;;327,5;;12,60;;72,2;;2;;0,0;;0,0;;
02.01.2019;01:00;31,695; ;;*;;*;78,222;;;*;6,20;;1026,2;;330,9;;11,92;;77,0;;20;;0,2;;0,0;;
02.01.2019;02:00;32,639; ;0,629;E;0,648;E;78,847;;-0,8680;E;6,54;;1026,9;;333,9;;12,55;;73,1;;0;;0,2;;0,0;;
02.01.2019;03:00;33,386; ;0,666;E;0,684;E;79,614;;-0,4929;E;6,69;;1027,6;;334,1;;12,64;;72,3;;0;;0,0;;0,0;;
02.01.2019;04:00;33,865; ;1,538;E;1,577;E;78,709;;-0,7997;E;6,57;;1028,4;;331,7;;12,18;;72,1;;0;;0,0;;0,0;;
02.01.2019;05:00;34,132; ;0,707;E;0,722;E;81,099;;-0,8501;E;6,41;;1028,7;;331,9;;13,08;;68,6;;0;;0,0;;0,0;;
02.01.2019;06:00;34,475; ;0,614;E;0,606;E;84,405;;-0,5176;E;6,29;;1029,2;;333,0;;12,36;;68,6;;0;;0,0;;0,0;;
02.01.2019;07:00;34,921; ;0,524;E;0,539;E;85,204;;-0,4698;E;6,26;;1029,7;;341,4;;11,35;;67,1;;0;;0,0;;0,0;;
02.01.2019;08:00;34,812; ;0,971;E;1,010;E;80,179;;-0,7978;E;6,01;;1030,7;;353,6;;9,45;;66,1;;3;;0,0;;0,0;;
02.01.2019;09:00;34,594; ;0,913;E;0,935;E;79,107;;-1,2824;E;5,99;;1031,8;;356,2;;8,22;;66,4;;0;;1,5;;0,0;;
02.01.2019;10:00;34,173; ;0,611;E;0,617;E;81,336;;-0,6118;E;6,00;;1033,0;;4,6;;7,90;;58,3;;0;;53,3;;0,1;;
02.01.2019;11:00;33,623; ;0,835;E;0,904;E;81,257;;-0,6791;E;6,28;;1033,9;;6,1;;7,46;;56,3;;0;;139,5;;0,3;;
02.01.2019;12:00;32,970; ;0,535;E;0,566;E;80,968;;-1,5413;E;6,56;;1034,5;;8,7;;6,94;;55,6;;0;;190,9;;0,4;;
02.01.2019;13:00;32,243; ;0,589;E;0,629;E;80,929;;-0,6309;E;6,42;;1034,9;;13,5;;6,90;;56,0;;0;;221,5;;0,4;;
02.01.2019;14:00;31,817; ;0,689;E;0,756;E;81,533;;-0,8881;E;6,53;;1035,1;;5,0;;6,08;;54,3;;0;;217,3;;0,4;;
02.01.2019;15:00;31,697; ;0,676;E;0,714;E;81,119;;-1,1953;E;6,40;;1035,5;;358,0;;4,81;;56,6;;0;;149,7;;0,3;;
02.01.2019;16:00;31,587; ;1,007;E;1,049;E;80,787;;-0,8257;E;5,99;;1035,6;;357,5;;4,33;;60,7;;0;;65,0;;0,1;;
02.01.2019;17:00;31,905; ;1,901;E;1,954;E;79,619;;-0,7985;E;5,60;;1036,0;;340,9;;4,78;;64,9;;0;;5,0;;0,0;;
02.01.2019;18:00;32,169; ;1,858;E;1,900;E;79,598;;-1,0469;E;5,68;;1036,0;;344,6;;4,36;;66,3;;0;;0,0;;0,0;;
02.01.2019;19:00;32,438; ;0,881;E;0,921;E;82,019;;-0,7322;E;5,73;;1036,1;;342,5;;4,59;;68,3;;0;;0,0;;0,0;;
02.01.2019;20:00;32,237; ;0,803;E;0,845;E;86,169;;-1,2990;E;5,69;;1036,2;;343,1;;6,42;;68,5;;0;;0,0;;0,0;;
02.01.2019;21:00;31,849; ;0,849;E;0,891;E;85,856;;-1,0534;E;5,74;;1036,5;;343,4;;5,84;;69,8;;0;;0,0;;0,0;;
02.01.2019;22:00;31,469; ;0,991;E;1,058;E;85,318;;-1,4355;E;5,36;;1036,4;;328,3;;4,88;;75,9;;0;;0,0;;0,0;;
02.01.2019;23:00;30,900; ;2,007;;2,071;;82,823;;-1,0579;E;4,41;;1036,3;;346,7;;3,71;;84,6;;29;;0,0;;0,0;;
03.01.2019;00:00;30,516; ;1,522;E;1,585;E;81,450;;-1,1396;E;3,90;;1036,1;;328,8;;3,74;;91,6;;0;;0,0;;0,0;;
03.01.2019;01:00;29,592; ;0,883;E;0,914;E;;*;-0,9411;E;4,69;;1036,0;;333,2;;5,11;;85,7;;0;;0,0;;0,0;;
03.01.2019;02:00;28,706; ;;*;;*;77,238;;;*;4,59;;1036,2;;326,0;;4,67;;87,8;;10;;0,0;;0,0;;
03.01.2019;03:00;27,939; ;1,886;E;1,924;E;82,173;;-0,7564;E;4,36;;1036,0;;321,5;;4,39;;91,0;;12;;0,0;;0,0;;
03.01.2019;04:00;27,136; ;4,452;;4,489;;79,741;;-0,6538;E;4,69;;1036,1;;338,0;;6,01;;88,5;;13;;0,1;;0,0;;
03.01.2019;05:00;26,623; ;1,346;E;1,389;E;82,815;;-0,8254;E;4,67;;1036,0;;329,8;;4,50;;88,2;;21;;0,0;;0,0;;
03.01.2019;06:00;26,188; ;2,927;;2,975;;80,673;;-1,1457;E;4,79;;1035,8;;331,4;;4,52;;89,8;;5;;0,0;;0,0;;
03.01.2019;07:00;25,438; ;1,192;E;1,233;E;84,079;;-0,4356;E;4,64;;1035,9;;347,1;;5,11;;87,8;;15;;0,1;;0,0;;
03.01.2019;08:00;24,944; ;1,668;E;1,701;E;82,679;;-0,7414;E;4,68;;1035,9;;334,0;;5,32;;87,3;;7;;0,0;;0,0;;
03.01.2019;09:00;24,483; ;4,564;;4,622;;79,802;;-0,7845;E;4,82;;1036,3;;332,9;;5,42;;87,3;;13;;1,1;;0,0;;
03.01.2019;10:00;24,100; ;1,196;E;1,225;E;83,121;;-0,8525;E;5,18;;1036,7;;332,4;;6,17;;85,8;;4;;23,4;;0,1;;
03.01.2019;11:00;24,118; ;;*;;*;;*;;*;;*;;*;;*;;*;;*;;*;;*;;*;
03.01.2019;12:00;23,894; ;0,858;E;0,934;E;83,481;;-0,7503;E;5,81;;1036,8;;338,5;;6,46;;81,8;;0;;128,4;;0,4;;
03.01.2019;13:00;23,699; ;1,905;E;2,085;;82,355;;-0,9411;E;6,01;;1036,6;;340,3;;5,72;;79,9;;0;;133,0;;0,4;;
03.01.2019;14:00;23,625; ;2,443;;2,623;;81,341;;-0,7469;E;6,34;;1036,4;;0,7;;4,79;;76,8;;0;;90,6;;0,3;;
03.01.2019;15:00;23,360; ;1,194;E;1,259;E;81,126;;-0,5833;E;6,11;;1036,6;;355,1;;4,72;;80,3;;0;;100,8;;0,3;;
03.01.2019;16:00;22,781; ;2,337;;2,460;;79,412;;-0,6765;E;5,47;;1037,3;;11,6;;4,41;;80,1;;0;;44,9;;0,1;;
03.01.2019;17:00;21,954; ;3,042;;3,093;;78,023;;-0,8426;E;4,87;;1037,4;;355,6;;2,98;;81,7;;0;;3,8;;0,0;;
03.01.2019;18:00;21,435; ;1,832;E;1,859;E;76,918;;-0,6111;E;4,49;;1037,8;;342,6;;2,69;;84,4;;0;;0,0;;0,0;;
03.01.2019;19:00;20,846; ;2,032;;2,097;;77,272;;-0,7706;E;4,75;;1037,6;;331,7;;3,71;;87,4;;0;;0,0;;0,0;;
03.01.2019;20:00;20,688; ;1,942;E;1,999;E;79,215;;-0,9174;E;5,35;;1037,7;;334,7;;4,01;;86,0;;0;;0,0;;0,0;;
03.01.2019;21:00;20,426; ;1,834;E;1,888;E;80,521;;-0,4117;E;5,53;;1037,7;;333,9;;4,39;;83,5;;0;;0,0;;0,0;;
03.01.2019;22:00;20,191; ;1,014;E;1,063;E;81,195;;-0,9512;E;5,48;;1037,7;;337,5;;3,97;;82,2;;0;;0,0;;0,0;;
03.01.2019;23:00;20,329; ;1,266;E;1,315;E;79,075;;-0,8612;E;5,00;;1037,3;;319,9;;2,21;;85,8;;0;;0,0;;0,0;;
04.01.2019;00:00;20,265; ;1,483;E;1,538;E;77,484;;-0,7042;E;5,04;;1037,0;;303,1;;2,28;;87,4;;0;;0,0;;0,0;;
04.01.2019;01:00;20,072; ;4,355;;4,424;;76,749;;-0,8422;E;5,48;;1036,7;;299,3;;3,13;;83,6;;0;;0,0;;0,0;;
