Lufthygienisches ‹berwachungssystem Niedersachsen;
Ostfriesland;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
28.12.2018;19:00;25,617; ;51,814;;139,349;;0,313;E;6,24;;1027,8;;232,5;;2,27;;100,0;;0;;0,0;;
28.12.2018;20:00;26,217; ;41,533;;113,846;;-0,126;E;6,20;;1028,0;;230,5;;2,37;;100,0;;14;;0,0;;
28.12.2018;21:00;26,803; ;42,030;;118,489;;-0,042;E;6,22;;1028,0;;233,9;;2,59;;100,0;;9;;0,0;;
28.12.2018;22:00;27,153; ;44,859;;84,953;;0,839;E;6,49;;1028,3;;260,6;;1,24;;99,5;;2;;0,0;;
28.12.2018;23:00;26,892; ;;*;;*;26,018;;7,30;;1028,5;;285,9;;1,81;;94,6;;0;;0,0;;
29.12.2018;00:00;26,485; ;12,590;;13,782;;37,795;;7,42;;1028,3;;282,6;;1,49;;94,0;;0;;0,0;;
29.12.2018;01:00;26,158; ;18,805;;20,185;;28,979;;7,36;;1028,0;;262,6;;0,87;;95,5;;0;;0,0;;
29.12.2018;02:00;25,803; ;22,132;;23,725;;;*;7,45;;1028,1;;268,0;;0,94;;96,1;;0;;0,0;;
29.12.2018;03:00;25,423; ;20,009;;21,394;;22,627;;7,51;;1028,4;;271,1;;0,91;;97,2;;0;;0,1;;
29.12.2018;04:00;25,101; ;16,212;;17,748;;25,065;;7,65;;1028,5;;271,7;;0,94;;98,8;;0;;0,2;;
29.12.2018;05:00;24,781; ;9,786;;10,833;;30,415;;7,95;;1028,1;;280,8;;1,48;;99,4;;0;;0,1;;
29.12.2018;06:00;24,294; ;11,501;;12,957;;29,002;;7,77;;1027,7;;267,2;;0,74;;100,0;;0;;0,2;;
29.12.2018;07:00;24,028; ;8,994;;10,109;;29,433;;7,95;;1027,7;;282,4;;1,34;;100,0;;0;;0,4;;
29.12.2018;08:00;23,862; ;13,604;;15,782;;25,329;;8,00;;1027,8;;268,3;;1,05;;100,0;;0;;0,2;;
29.12.2018;09:00;23,813; ;17,543;;23,449;;20,756;;7,84;;1027,2;;235,6;;2,58;;100,0;;0;;1,3;;
29.12.2018;10:00;24,088; ;18,890;;27,325;;19,327;;7,76;;1026,7;;234,5;;3,55;;100,0;;0;;13,7;;
29.12.2018;11:00;24,438; ;22,001;;30,917;;17,932;;7,81;;1026,1;;232,8;;3,64;;99,7;;0;;33,8;;
29.12.2018;12:00;24,479; ;27,456;;41,177;;16,368;;7,84;;1025,1;;232,8;;4,24;;97,6;;0;;52,2;;
29.12.2018;13:00;24,385; ;29,033;;39,285;;20,941;;8,42;;1023,9;;238,3;;3,59;;95,6;;0;;36,2;;
29.12.2018;14:00;24,276; ;29,775;;39,014;;24,878;;8,43;;1022,4;;238,8;;4,36;;97,3;;21;;12,2;;
29.12.2018;15:00;23,888; ;26,745;;33,889;;28,338;;8,09;;1021,5;;241,1;;3,45;;99,9;;57;;7,1;;
29.12.2018;16:00;22,786; ;18,848;;23,998;;38,193;;8,25;;1020,5;;244,2;;3,44;;100,0;;5;;4,8;;
29.12.2018;17:00;21,745; ;11,240;;12,889;;49,147;;9,01;;1020,0;;269,2;;1,99;;98,4;;0;;0,6;;
29.12.2018;18:00;20,772; ;6,633;;7,555;;57,809;;9,68;;1019,3;;289,2;;3,80;;94,4;;17;;0,0;;
29.12.2018;19:00;19,773; ;5,791;;6,711;;65,874;;8,95;;1019,1;;298,9;;5,59;;93,6;;10;;0,0;;
29.12.2018;20:00;18,768; ;6,883;;7,789;;69,993;;7,56;;1019,5;;301,6;;4,96;;95,0;;10;;0,0;;
29.12.2018;21:00;17,948; ;5,545;;6,397;;71,279;;7,64;;1019,6;;304,1;;4,90;;96,0;;12;;0,0;;
29.12.2018;22:00;17,405; ;4,199;;5,040;;73,065;;7,70;;1019,7;;306,3;;5,66;;95,8;;0;;0,0;;
29.12.2018;23:00;17,482; ;4,550;;5,573;;72,217;;7,52;;1020,5;;326,9;;5,57;;97,9;;42;;0,1;;
30.12.2018;00:00;17,608; ;;*;;*;73,117;;7,87;;1022,0;;338,9;;6,05;;89,6;;10;;0,3;;
30.12.2018;01:00;17,755; ;4,922;;6,236;;74,871;;7,76;;1023,6;;341,8;;5,76;;87,4;;0;;0,0;;
30.12.2018;02:00;17,555; ;4,427;;5,801;;76,343;;7,43;;1025,0;;340,9;;4,70;;86,6;;0;;0,0;;
30.12.2018;03:00;17,413; ;5,850;;8,768;;;*;7,13;;1026,0;;338,0;;3,90;;87,8;;0;;0,0;;
30.12.2018;04:00;17,257; ;5,175;;6,250;;75,409;;6,87;;1026,9;;337,1;;3,40;;90,7;;0;;0,0;;
30.12.2018;05:00;16,886; ;3,887;;4,578;;78,458;;7,50;;1027,4;;335,8;;3,70;;87,2;;0;;0,0;;
30.12.2018;06:00;16,594; ;4,094;;4,922;;77,171;;7,54;;1027,9;;331,5;;2,70;;89,2;;0;;0,0;;
30.12.2018;07:00;16,195; ;5,091;;6,057;;75,315;;7,56;;1028,5;;330,4;;2,75;;91,3;;0;;0,0;;
30.12.2018;08:00;15,737; ;4,655;;5,539;;75,788;;7,67;;1029,2;;318,2;;2,42;;90,3;;0;;0,0;;
30.12.2018;09:00;15,115; ;5,406;;6,199;;75,560;;7,72;;1029,3;;306,9;;2,25;;87,1;;0;;1,3;;
30.12.2018;10:00;14,286; ;8,783;;9,793;;69,325;;7,41;;1029,6;;287,1;;1,66;;90,8;;0;;23,6;;
30.12.2018;11:00;13,483; ;6,481;;7,624;;68,319;;7,48;;1029,9;;290,0;;2,37;;92,9;;0;;66,6;;
30.12.2018;12:00;12,975; ;6,031;;7,382;;66,445;;8,08;;1030,1;;293,9;;2,73;;92,4;;0;;140,7;;
30.12.2018;13:00;12,662; ;7,681;;9,327;;65,061;;8,71;;1030,1;;298,9;;2,84;;89,7;;0;;160,2;;
30.12.2018;14:00;12,330; ;5,859;;7,014;;68,368;;8,62;;1029,8;;301,0;;2,71;;88,8;;0;;93,3;;
30.12.2018;15:00;12,250; ;6,992;;8,339;;64,505;;8,73;;1029,8;;296,3;;2,23;;88,5;;0;;71,9;;
30.12.2018;16:00;12,508; ;8,161;;9,639;;61,736;;8,34;;1029,7;;289,8;;2,08;;89,7;;0;;21,8;;
30.12.2018;17:00;12,683; ;9,586;;10,550;;56,875;;7,85;;1029,7;;290,3;;1,59;;91,9;;0;;1,7;;
30.12.2018;18:00;12,810; ;12,217;;13,476;;51,074;;7,69;;1029,8;;273,9;;0,91;;94,8;;0;;0,0;;
30.12.2018;19:00;12,967; ;16,663;;17,910;;45,888;;7,72;;1029,9;;255,2;;0,70;;95,6;;0;;0,0;;
30.12.2018;20:00;13,354; ;28,017;;29,744;;30,375;;7,47;;1030,1;;234,4;;0,48;;98,4;;1;;0,0;;
30.12.2018;21:00;13,638; ;22,045;;23,839;;33,321;;7,50;;1029,9;;235,2;;0,48;;99,8;;0;;0,0;;
30.12.2018;22:00;14,014; ;17,707;;19,044;;36,769;;7,47;;1029,8;;239,8;;0,43;;100,0;;0;;0,0;;
30.12.2018;23:00;14,147; ;19,808;;22,345;;34,363;;7,44;;1029,6;;234,5;;0,66;;100,0;;0;;0,0;;
31.12.2018;00:00;14,451; ;19,551;;22,602;;31,934;;7,42;;1029,5;;230,3;;1,04;;100,0;;2;;0,0;;
31.12.2018;01:00;15,003; ;;*;;*;16,411;;7,26;;1029,5;;231,0;;1,77;;100,0;;0;;0,3;;
31.12.2018;02:00;15,624; ;14,388;;18,148;;26,652;;7,73;;1029,5;;268,0;;0,67;;100,0;;0;;0,5;;
31.12.2018;03:00;15,630; ;7,484;;8,776;;38,313;;8,38;;1029,7;;296,8;;1,83;;100,0;;3;;0,2;;
31.12.2018;04:00;15,429; ;8,834;;9,752;;;*;8,32;;1029,8;;306,5;;1,86;;100,0;;13;;0,1;;
31.12.2018;05:00;15,245; ;6,813;;7,809;;49,745;;7,92;;1029,8;;306,6;;1,94;;100,0;;1;;0,2;;
31.12.2018;06:00;14,927; ;6,316;;7,280;;52,317;;7,88;;1029,9;;313,3;;1,71;;100,0;;0;;0,4;;
31.12.2018;07:00;14,638; ;5,935;;6,822;;54,858;;7,82;;1030,2;;308,9;;1,76;;100,0;;0;;0,3;;
31.12.2018;08:00;14,923; ;13,212;;15,688;;44,315;;7,94;;1030,6;;299,0;;1,38;;100,0;;0;;0,1;;
31.12.2018;09:00;15,286; ;11,272;;12,429;;43,837;;7,89;;1031,2;;287,9;;1,44;;100,0;;0;;1,5;;
31.12.2018;10:00;15,705; ;12,225;;13,813;;43,175;;8,04;;1031,4;;296,4;;1,82;;100,0;;0;;19,2;;
31.12.2018;11:00;16,059; ;12,770;;15,440;;43,033;;8,44;;1031,4;;302,1;;1,66;;100,0;;0;;68,7;;
31.12.2018;12:00;16,308; ;10,925;;13,140;;45,726;;8,82;;1031,5;;304,3;;2,37;;100,0;;0;;78,6;;
31.12.2018;13:00;16,514; ;10,336;;12,360;;48,254;;9,13;;1031,2;;300,5;;2,23;;99,9;;0;;84,3;;
31.12.2018;14:00;16,657; ;9,531;;11,246;;49,314;;9,32;;1030,8;;298,0;;2,35;;98,2;;0;;71,8;;
31.12.2018;15:00;16,700; ;6,742;;8,110;;52,948;;9,24;;1030,6;;303,0;;2,61;;97,0;;0;;47,2;;
31.12.2018;16:00;16,728; ;9,579;;10,790;;49,883;;8,95;;1030,6;;294,5;;2,37;;97,3;;0;;29,6;;
31.12.2018;17:00;16,768; ;11,031;;12,785;;46,647;;8,73;;1030,5;;281,0;;1,34;;97,1;;0;;1,3;;
31.12.2018;18:00;16,965; ;14,461;;15,702;;41,429;;8,70;;1030,1;;278,2;;1,45;;97,2;;0;;0,1;;
31.12.2018;19:00;16,977; ;6,528;;7,566;;55,205;;8,71;;1029,9;;285,9;;2,15;;94,0;;0;;0,0;;
31.12.2018;20:00;16,851; ;7,835;;8,882;;52,156;;8,42;;1029,6;;278,6;;1,68;;93,1;;0;;0,0;;
31.12.2018;21:00;17,719; ;12,085;;13,759;;45,616;;8,57;;1029,2;;263,5;;1,42;;93,1;;0;;0,0;;
31.12.2018;22:00;17,967; ;8,327;;9,888;;53,408;;8,64;;1028,9;;274,5;;1,81;;90,5;;0;;0,0;;
31.12.2018;23:00;17,925; ;5,993;;6,860;;58,499;;8,59;;1028,3;;281,5;;2,23;;86,9;;0;;0,0;;
01.01.2019;00:00;18,867; ;11,649;;17,062;;52,929;;8,37;;1027,6;;266,2;;1,67;;88,4;;0;;0,0;;
01.01.2019;01:00;28,157; ;21,637;;42,438;;42,862;;8,35;;1026,8;;261,2;;1,70;;87,1;;0;;0,0;;
01.01.2019;02:00;32,666; ;;*;;*;48,977;;8,44;;1026,0;;272,7;;2,05;;85,0;;0;;0,0;;
01.01.2019;03:00;35,272; ;9,681;;10,730;;52,902;;8,45;;1025,3;;273,7;;2,17;;84,5;;0;;0,0;;
01.01.2019;04:00;36,904; ;7,079;;9,302;;55,904;;8,37;;1024,8;;279,4;;2,38;;85,8;;0;;0,0;;
01.01.2019;05:00;38,912; ;5,892;;9,136;;;*;8,39;;1024,0;;284,0;;3,06;;88,3;;6;;0,0;;
01.01.2019;06:00;40,036; ;4,800;;5,659;;57,391;;7,82;;1023,0;;288,4;;3,27;;97,8;;28;;0,0;;
01.01.2019;07:00;40,864; ;4,614;;5,416;;57,648;;7,97;;1022,6;;292,3;;4,16;;100,0;;38;;0,2;;
01.01.2019;08:00;41,003; ;5,492;;6,344;;57,921;;8,15;;1022,8;;303,6;;4,17;;100,0;;53;;0,3;;
01.01.2019;09:00;41,812; ;6,091;;8,360;;67,848;;7,86;;1022,8;;310,5;;3,67;;95,9;;1;;1,9;;
01.01.2019;10:00;42,722; ;4,090;;5,179;;72,825;;7,37;;1022,9;;326,9;;3,37;;86,6;;0;;30,0;;
01.01.2019;11:00;43,397; ;6,727;;9,611;;71,220;;7,81;;1023,3;;318,2;;3,19;;81,8;;0;;60,7;;
01.01.2019;12:00;44,080; ;4,604;;5,648;;70,293;;7,94;;1023,5;;315,0;;3,82;;81,5;;0;;80,5;;
01.01.2019;13:00;44,786; ;3,777;;4,814;;71,085;;8,15;;1023,3;;308,5;;4,17;;79,9;;0;;132,7;;
01.01.2019;14:00;45,388; ;3,788;;5,051;;73,055;;8,33;;1022,9;;319,9;;4,49;;74,7;;0;;172,8;;
01.01.2019;15:00;45,929; ;3,208;;4,344;;76,543;;7,66;;1022,9;;329,1;;4,89;;71,9;;4;;67,1;;
01.01.2019;16:00;46,168; ;3,131;;4,195;;77,852;;6,18;;1022,9;;332,5;;5,61;;77,6;;2;;27,0;;
01.01.2019;17:00;46,572; ;3,681;;4,920;;77,834;;6,21;;1023,1;;335,8;;5,94;;74,6;;0;;2,3;;
01.01.2019;18:00;46,808; ;4,211;;5,811;;78,938;;5,92;;1024,1;;341,4;;5,73;;70,9;;0;;0,0;;
01.01.2019;19:00;47,358; ;4,091;;5,436;;76,427;;6,17;;1024,7;;343,0;;5,43;;68,8;;0;;0,0;;
01.01.2019;20:00;47,517; ;3,558;;4,724;;77,315;;5,40;;1025,3;;344,0;;6,20;;74,8;;12;;0,0;;
01.01.2019;21:00;46,787; ;3,471;;4,604;;78,669;;5,15;;1025,5;;339,5;;5,62;;73,5;;0;;0,0;;
01.01.2019;22:00;46,445; ;3,651;;4,842;;80,960;;5,63;;1025,9;;343,7;;6,09;;66,3;;0;;0,0;;
01.01.2019;23:00;46,778; ;3,182;;4,525;;78,435;;5,89;;1026,2;;343,7;;6,06;;68,3;;0;;0,0;;
02.01.2019;00:00;46,043; ;3,327;;4,470;;76,890;;6,27;;1026,4;;344,8;;6,25;;68,6;;0;;0,0;;
02.01.2019;01:00;36,816; ;3,493;;4,579;;74,802;;6,05;;1026,8;;346,8;;6,17;;74,3;;4;;0,0;;
02.01.2019;02:00;32,528; ;3,908;;4,948;;73,542;;6,53;;1027,3;;349,5;;5,88;;72,5;;0;;0,0;;
02.01.2019;03:00;30,659; ;;*;;*;74,314;;6,43;;1028,2;;349,7;;5,48;;72,4;;2;;0,0;;
02.01.2019;04:00;29,869; ;4,162;;5,168;;75,057;;6,47;;1028,9;;348,7;;5,40;;71,0;;0;;0,0;;
02.01.2019;05:00;28,682; ;3,674;;4,642;;76,402;;6,15;;1029,4;;351,9;;5,09;;69,8;;0;;0,0;;
02.01.2019;06:00;28,383; ;3,514;;4,445;;78,114;;5,93;;1029,7;;354,8;;4,72;;67,9;;0;;0,0;;
02.01.2019;07:00;28,325; ;4,388;;5,577;;81,299;;5,83;;1030,2;;357,5;;4,76;;67,7;;3;;0,0;;
02.01.2019;08:00;28,476; ;7,042;;9,009;;77,784;;5,92;;1031,0;;359,8;;3,80;;66,9;;0;;0,0;;
02.01.2019;09:00;27,717; ;10,309;;12,067;;68,538;;5,56;;1032,1;;4,2;;2,62;;64,8;;0;;1,4;;
02.01.2019;10:00;26,706; ;11,853;;13,662;;64,433;;5,39;;1033,2;;356,5;;2,30;;67,4;;0;;44,2;;
02.01.2019;11:00;25,634; ;11,804;;15,104;;66,017;;5,88;;1034,1;;16,0;;2,43;;56,2;;0;;126,4;;
02.01.2019;12:00;24,588; ;8,475;;11,292;;69,849;;6,52;;1034,7;;26,6;;2,75;;51,8;;0;;190,5;;
02.01.2019;13:00;23,609; ;10,896;;14,555;;68,998;;6,95;;1035,0;;27,6;;2,94;;50,2;;0;;201,6;;
02.01.2019;14:00;22,801; ;6,727;;8,746;;73,746;;6,69;;1035,3;;27,2;;2,94;;47,9;;0;;179,2;;
02.01.2019;15:00;22,140; ;7,249;;9,296;;73,477;;6,80;;1035,8;;26,1;;2,58;;46,0;;0;;138,1;;
02.01.2019;16:00;21,909; ;20,330;;24,854;;59,284;;6,35;;1035,9;;3,1;;1,41;;49,4;;0;;47,6;;
02.01.2019;17:00;21,708; ;37,477;;45,447;;36,607;;4,87;;1036,3;;338,2;;1,27;;60,2;;0;;1,6;;
02.01.2019;18:00;21,958; ;29,203;;33,519;;41,810;;4,23;;1036,5;;325,0;;1,22;;68,6;;0;;0,0;;
02.01.2019;19:00;22,559; ;33,522;;36,134;;35,857;;3,72;;1036,5;;310,6;;0,80;;75,6;;0;;0,0;;
02.01.2019;20:00;23,102; ;22,635;;24,448;;47,888;;4,01;;1036,7;;317,2;;0,97;;77,1;;0;;0,0;;
02.01.2019;21:00;23,142; ;13,230;;14,764;;60,990;;4,14;;1036,9;;328,9;;1,36;;77,9;;0;;0,0;;
02.01.2019;22:00;23,033; ;10,737;;12,962;;68,627;;4,10;;1036,9;;340,7;;2,08;;83,0;;0;;0,0;;
02.01.2019;23:00;22,430; ;8,026;;9,405;;;*;3,91;;1036,7;;335,2;;1,90;;84,8;;0;;0,0;;
03.01.2019;00:00;21,865; ;9,075;;10,450;;67,392;;3,55;;1036,5;;343,2;;1,58;;87,8;;0;;0,0;;
03.01.2019;01:00;21,052; ;8,745;;9,777;;67,239;;3,60;;1036,5;;330,1;;1,25;;90,6;;0;;0,0;;
03.01.2019;02:00;20,133; ;7,258;;9,279;;68,969;;3,71;;1036,7;;340,0;;1,76;;89,9;;13;;0,0;;
03.01.2019;03:00;19,101; ;9,880;;14,479;;69,133;;3,79;;1036,6;;324,6;;1,04;;93,9;;0;;0,0;;
03.01.2019;04:00;18,178; ;;*;;*;67,730;;3,68;;1036,6;;336,5;;1,61;;93,3;;0;;0,0;;
03.01.2019;05:00;17,451; ;11,035;;12,788;;64,164;;3,42;;1036,5;;335,5;;1,54;;92,6;;3;;0,0;;
03.01.2019;06:00;16,811; ;11,562;;12,642;;61,509;;3,38;;1036,4;;332,3;;1,22;;94,2;;9;;0,0;;
03.01.2019;07:00;16,049; ;11,689;;13,381;;65,714;;3,62;;1036,4;;329,3;;1,55;;94,0;;8;;0,0;;
03.01.2019;08:00;15,247; ;17,174;;21,128;;59,823;;3,58;;1036,5;;339,9;;1,64;;93,7;;6;;0,0;;
03.01.2019;09:00;14,749; ;26,056;;30,073;;52,795;;3,68;;1036,8;;344,0;;1,49;;91,8;;6;;1,2;;
03.01.2019;10:00;14,318; ;24,215;;29,285;;53,495;;4,00;;1037,2;;341,6;;1,63;;90,4;;0;;26,9;;
03.01.2019;11:00;14,346; ;;*;;*;;*;;*;;*;;*;;*;;*;;*;;*;
03.01.2019;12:00;14,152; ;15,751;;19,246;;66,451;;5,06;;1037,3;;354,1;;2,11;;86,6;;12;;106,2;;
03.01.2019;13:00;13,992; ;11,679;;14,799;;69,200;;5,99;;1037,1;;355,6;;2,26;;81,8;;0;;164,1;;
03.01.2019;14:00;13,970; ;13,713;;17,629;;67,490;;6,16;;1036,9;;2,4;;1,77;;80,5;;0;;139,8;;
03.01.2019;15:00;13,949; ;10,026;;14,284;;70,493;;6,50;;1036,8;;344,1;;2,58;;76,5;;0;;129,2;;
03.01.2019;16:00;14,097; ;17,168;;20,767;;62,340;;6,16;;1037,4;;4,2;;1,63;;79,3;;0;;39,6;;
03.01.2019;17:00;14,141; ;25,548;;29,609;;49,683;;5,29;;1037,5;;348,7;;1,66;;83,0;;0;;3,4;;
03.01.2019;18:00;13,766; ;34,575;;37,387;;38,907;;4,31;;1037,9;;1,7;;1,19;;86,7;;0;;0,0;;
03.01.2019;19:00;12,842; ;41,445;;45,974;;31,670;;3,67;;1037,8;;344,5;;1,14;;88,9;;0;;0,0;;
03.01.2019;20:00;12,362; ;33,636;;36,035;;33,716;;2,67;;1038,1;;313,7;;0,84;;90,9;;0;;0,0;;
03.01.2019;21:00;12,571; ;29,991;;31,940;;36,357;;2,57;;1038,2;;322,5;;0,87;;94,4;;0;;0,0;;
03.01.2019;22:00;12,821; ;26,838;;28,860;;38,912;;2,92;;1038,2;;324,2;;0,96;;94,5;;0;;0,0;;
03.01.2019;23:00;13,216; ;27,538;;29,121;;36,584;;2,54;;1037,8;;299,4;;0,65;;94,3;;0;;0,0;;
04.01.2019;00:00;13,436; ;19,223;;20,786;;;*;2,55;;1037,6;;299,2;;0,85;;95,7;;0;;0,0;;
04.01.2019;01:00;13,490; ;14,822;;16,023;;51,279;;3,03;;1037,3;;288,8;;0,73;;95,9;;0;;0,0;;
04.01.2019;02:00;13,378; ;9,079;;10,018;;59,872;;3,78;;1037,2;;310,4;;0,99;;93,5;;0;;0,5;;
04.01.2019;03:00;13,116; ;6,289;;8,118;;68,241;;4,41;;1036,9;;309,1;;0,98;;88,3;;2;;0,1;;
04.01.2019;04:00;12,883; ;4,233;;5,113;;72,220;;4,44;;1036,8;;305,0;;1,92;;94,0;;1;;0,0;;
04.01.2019;05:00;12,655; ;;*;;*;67,445;;4,37;;1035,9;;287,9;;1,55;;96,2;;0;;0,0;;
04.01.2019;06:00;12,472; ;5,324;;6,256;;69,191;;4,57;;1035,4;;318,6;;2,14;;97,5;;10;;0,0;;
04.01.2019;07:00;12,430; ;4,896;;6,105;;73,489;;4,82;;1034,9;;324,1;;2,58;;93,6;;0;;0,0;;
04.01.2019;08:00;12,483; ;5,800;;6,926;;73,322;;4,99;;1034,9;;323,4;;2,97;;89,1;;0;;0,0;;
04.01.2019;09:00;12,575; ;7,757;;10,469;;71,090;;4,85;;1034,6;;315,3;;2,70;;91,5;;0;;0,3;;
04.01.2019;10:00;12,722; ;11,272;;12,723;;65,695;;5,29;;1034,3;;307,1;;3,06;;86,6;;0;;5,9;;
04.01.2019;11:00;12,804; ;8,343;;9,826;;65,667;;5,77;;1033,6;;309,9;;3,29;;85,3;;0;;14,6;;
04.01.2019;12:00;13,172; ;8,136;;9,826;;60,774;;5,91;;1033,2;;329,6;;3,08;;86,6;;0;;18,3;;
04.01.2019;13:00;13,544; ;7,907;;10,546;;63,092;;5,88;;1032,6;;333,8;;3,25;;85,6;;0;;27,6;;
04.01.2019;14:00;13,817; ;7,345;;10,312;;62,738;;5,78;;1031,8;;334,7;;3,36;;89,0;;0;;22,4;;
04.01.2019;15:00;14,113; ;7,540;;9,322;;65,799;;5,95;;1031,7;;336,1;;3,43;;90,0;;0;;32,3;;
04.01.2019;16:00;14,088; ;8,414;;10,846;;63,674;;5,73;;1031,6;;332,7;;2,90;;95,9;;5;;11,5;;
04.01.2019;17:00;13,904; ;8,377;;9,759;;61,898;;5,94;;1031,4;;324,4;;2,60;;96,8;;0;;0,5;;
04.01.2019;18:00;13,731; ;12,107;;13,342;;56,961;;5,96;;1031,3;;310,6;;2,24;;99,1;;1;;0,0;;
04.01.2019;19:00;13,475; ;8,814;;10,147;;59,579;;6,31;;1031,0;;329,9;;2,73;;99,4;;0;;0,0;;
04.01.2019;20:00;13,120; ;7,492;;11,288;;60,503;;6,56;;1030,9;;335,1;;3,30;;97,1;;0;;0,0;;
04.01.2019;21:00;12,490; ;6,661;;8,477;;62,036;;6,68;;1030,9;;315,1;;2,67;;94,9;;0;;0,0;;
04.01.2019;22:00;12,167; ;7,061;;8,052;;60,720;;6,71;;1030,4;;310,5;;2,73;;95,2;;0;;0,2;;
04.01.2019;23:00;11,904; ;5,395;;6,429;;61,800;;6,69;;1029,8;;310,0;;3,37;;98,7;;9;;0,0;;
05.01.2019;00:00;11,447; ;5,769;;6,616;;60,829;;6,70;;1029,3;;313,4;;3,49;;100,0;;56;;0,3;;
05.01.2019;01:00;11,383; ;4,730;;5,732;;;*;6,92;;1028,9;;323,4;;3,14;;100,0;;59;;0,4;;
05.01.2019;02:00;11,800; ;4,089;;5,087;;64,838;;7,26;;1028,3;;326,5;;3,47;;99,9;;34;;0,3;;
05.01.2019;03:00;12,490; ;4,145;;5,002;;66,979;;7,36;;1027,7;;325,5;;3,98;;99,4;;7;;0,1;;
05.01.2019;04:00;13,069; ;3,792;;4,613;;69,290;;7,43;;1027,1;;332,5;;5,05;;98,1;;22;;0,2;;
05.01.2019;05:00;13,618; ;3,442;;4,213;;71,373;;7,43;;1026,6;;332,1;;5,44;;98,3;;7;;0,6;;
05.01.2019;06:00;14,241; ;3,666;;4,651;;72,741;;7,41;;1026,3;;333,6;;5,20;;98,2;;0;;0,3;;
05.01.2019;07:00;14,878; ;4,512;;6,058;;73,343;;7,78;;1026,3;;342,5;;5,28;;95,0;;0;;0,5;;
05.01.2019;08:00;15,615; ;4,856;;6,084;;72,151;;7,67;;1026,6;;334,8;;4,43;;94,7;;0;;0,0;;
05.01.2019;09:00;16,190; ;6,366;;7,513;;71,262;;7,34;;1026,9;;334,8;;4,03;;97,6;;21;;0,5;;
05.01.2019;10:00;16,521; ;4,807;;7,528;;73,547;;7,20;;1027,2;;337,3;;4,10;;99,8;;54;;9,0;;
05.01.2019;11:00;16,585; ;7,204;;9,147;;71,790;;7,26;;1027,2;;342,9;;4,79;;100,0;;53;;26,7;;
