Lufthygienisches ‹berwachungssystem Niedersachsen;
Braunschweig (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;Regendauer;;
29.12.2018;03:00;26,264; ;48,318;;64,348;;0,49500;E;4,68;;1019,5;;97,7;;12;;
29.12.2018;04:00;26,610; ;46,536;;58,717;;0,48460;E;4,71;;1019,5;;98,1;;21;;
29.12.2018;05:00;26,956; ;49,024;;60,009;;0,48683;E;4,64;;1019,2;;99,0;;22;;
29.12.2018;06:00;27,325; ;49,732;;76,953;;0,49386;E;4,73;;1019,2;;98,5;;19;;
29.12.2018;07:00;27,629; ;47,691;;84,839;;0,51735;E;4,78;;1019,4;;98,0;;7;;
29.12.2018;08:00;27,853; ;51,135;;86,577;;0,53276;E;4,88;;1019,5;;98,1;;6;;
29.12.2018;09:00;27,828; ;50,059;;99,844;;0,55863;E;5,03;;1019,6;;97,8;;22;;
29.12.2018;10:00;27,577; ;48,663;;105,885;;0,58853;E;5,29;;1019,5;;97,6;;13;;
29.12.2018;11:00;27,189; ;40,961;;113,073;;0,61410; ;5,57;;1019,1;;97,2;;1;;
29.12.2018;12:00;26,642; ;36,574;;117,480;;0,63536; ;6,27;;1018,2;;94,4;;0;;
29.12.2018;13:00;26,080; ;46,994;;117,215;;0,65735; ;6,39;;1017,4;;91,6;;0;;
29.12.2018;14:00;25,630; ;40,204;;116,142;;0,67309; ;6,44;;1017,0;;90,0;;0;;
29.12.2018;15:00;25,300; ;40,476;;110,175;;0,67926; ;6,49;;1016,6;;89,7;;0;;
29.12.2018;16:00;25,050; ;42,128;;99,445;;0,67789; ;6,78;;1015,4;;89,3;;0;;
29.12.2018;17:00;24,694; ;47,484;;107,709;;0,67116; ;6,56;;1014,5;;88,3;;1;;
29.12.2018;18:00;24,058; ;47,289;;99,735;;0,65527; ;5,90;;1013,9;;93,7;;60;;
29.12.2018;19:00;23,249; ;46,183;;93,083;;0,67907; ;5,50;;1012,8;;97,1;;57;;
29.12.2018;20:00;22,290; ;27,291;;64,614;;0,65251; ;5,46;;1011,7;;96,9;;16;;
29.12.2018;21:00;21,175; ;30,464;;58,339;;0,62256; ;5,45;;1010,6;;97,4;;56;;
29.12.2018;22:00;20,095; ;25,304;;44,019;;0,59116;E;5,41;;1009,6;;98,1;;44;;
29.12.2018;23:00;19,282; ;17,841;;33,022;;0,55159;E;6,71;;1009,2;;97,2;;24;;
30.12.2018;00:00;18,159; ;12,787;;20,713;;0,49874;E;6,83;;1009,4;;98,0;;34;;
30.12.2018;01:00;16,858; ;5,493;;13,088;;0,44926;E;6,66;;1009,4;;98,9;;1;;
30.12.2018;02:00;15,651; ;;*;;*;0,40305;E;6,75;;1009,7;;99,4;;1;;
30.12.2018;03:00;14,744; ;5,238;;11,975;;0,31537;E;7,10;;1010,4;;99,4;;14;;
30.12.2018;04:00;13,990; ;9,189;;12,960;;0,28083;E;7,03;;1011,8;;91,8;;13;;
30.12.2018;05:00;13,341; ;8,282;;10,614;;0,24087;E;6,86;;1013,1;;83,8;;0;;
30.12.2018;06:00;12,770; ;10,772;;15,531;;0,20999;E;6,84;;1014,3;;80,5;;0;;
30.12.2018;07:00;12,211; ;6,830;;8,835;;0,19524;E;6,67;;1015,7;;81,1;;0;;
30.12.2018;08:00;11,607; ;7,310;;11,998;;0,19263;E;6,77;;1016,7;;83,2;;0;;
30.12.2018;09:00;11,084; ;7,809;;12,015;;0,19475;E;6,70;;1017,5;;86,3;;6;;
30.12.2018;10:00;10,615; ;8,186;;19,504;;0,20163;E;6,77;;1018,1;;87,6;;0;;
30.12.2018;11:00;10,199; ;16,241;;27,250;;0,21589;E;6,78;;1018,7;;88,7;;4;;
30.12.2018;12:00;9,988; ;16,474;;30,623;;0,23459;E;7,27;;1018,7;;85,1;;0;;
30.12.2018;13:00;9,750; ;18,147;;36,451;;0,25771;E;7,70;;1018,6;;81,7;;0;;
30.12.2018;14:00;9,545; ;14,663;;28,626;;0,27614;E;7,87;;1018,8;;82,5;;0;;
30.12.2018;15:00;9,291; ;15,710;;35,537;;0,29287;E;7,96;;1019,1;;82,3;;0;;
30.12.2018;16:00;8,956; ;16,698;;31,590;;0,31149;E;7,82;;1019,1;;82,9;;1;;
30.12.2018;17:00;8,782; ;23,371;;41,779;;0,32303;E;7,66;;1019,4;;84,0;;2;;
30.12.2018;18:00;8,667; ;17,968;;34,578;;0,33094;E;7,61;;1019,8;;84,8;;0;;
30.12.2018;19:00;8,523; ;16,308;;32,924;;0,33408;E;7,59;;1020,3;;84,0;;0;;
30.12.2018;20:00;8,532; ;19,263;;35,830;;0,33671;E;7,58;;1020,8;;83,7;;0;;
30.12.2018;21:00;8,719; ;17,496;;31,760;;0,33699;E;7,44;;1020,8;;84,8;;0;;
30.12.2018;22:00;9,071; ;20,779;;40,104;;0,33934;E;7,25;;1020,8;;87,1;;0;;
30.12.2018;23:00;9,352; ;18,630;;28,738;;0,33551;E;6,87;;1020,8;;90,1;;0;;
31.12.2018;00:00;9,922; ;20,174;;33,832;;0,32966;E;6,60;;1021,0;;91,9;;0;;
31.12.2018;01:00;10,558; ;13,807;;18,945;;0,32318;E;6,47;;1020,9;;92,5;;0;;
31.12.2018;02:00;11,360; ;12,250;;14,719;;0,31570;E;6,48;;1020,7;;92,3;;0;;
31.12.2018;03:00;12,113; ;;*;;*;0,30562;E;6,60;;1020,8;;92,5;;0;;
31.12.2018;04:00;12,883; ;10,780;;13,950;;0,29677;E;6,59;;1021,0;;95,1;;0;;
31.12.2018;05:00;13,546; ;12,927;;17,470;;0,29049;E;6,65;;1020,8;;95,9;;0;;
31.12.2018;06:00;14,436; ;19,699;;39,247;;0,28676;E;6,72;;1020,9;;97,0;;0;;
31.12.2018;07:00;15,751; ;26,335;;68,949;;0,29584;E;6,77;;1021,1;;99,2;;0;;
31.12.2018;08:00;17,164; ;30,422;;83,648;;0,34314;E;6,75;;1021,5;;100,0;;0;;
31.12.2018;09:00;18,377; ;28,974;;117,939;;0,38836;E;6,89;;1021,8;;100,0;;0;;
31.12.2018;10:00;18,954; ;37,488;;132,977;;0,43793;E;7,07;;1022,2;;100,0;;3;;
31.12.2018;11:00;19,246; ;37,321;;163,873;;0,50324;E;7,33;;1022,2;;100,0;;0;;
31.12.2018;12:00;19,191; ;33,481;;133,252;;0,55293;E;7,82;;1021,8;;99,9;;0;;
31.12.2018;13:00;19,199; ;34,484;;108,334;;0,58852;E;8,24;;1021,3;;98,9;;0;;
31.12.2018;14:00;19,090; ;30,478;;78,844;;0,59905;E;8,56;;1021,1;;96,3;;0;;
31.12.2018;15:00;18,983; ;27,892;;74,292;;0,60133; ;8,72;;1021,2;;94,7;;0;;
31.12.2018;16:00;19,434; ;28,058;;72,104;;0,56928;E;8,71;;1021,2;;96,5;;0;;
31.12.2018;17:00;19,820; ;26,809;;57,585;;0,53873;E;8,70;;1021,1;;97,4;;0;;
31.12.2018;18:00;20,069; ;28,807;;64,030;;0,50141;E;8,72;;1021,1;;97,7;;0;;
31.12.2018;19:00;20,578; ;24,633;;47,307;;0,44579;E;8,88;;1020,9;;95,6;;0;;
31.12.2018;20:00;20,912; ;29,456;;68,557;;0,41155;E;8,89;;1020,8;;93,6;;0;;
31.12.2018;21:00;21,345; ;18,619;;43,273;;0,37549;E;8,70;;1020,8;;94,0;;0;;
31.12.2018;22:00;22,337; ;21,836;;39,718;;0,36209;E;8,53;;1020,6;;95,3;;0;;
31.12.2018;23:00;22,859; ;19,118;;33,212;;0,33949;E;8,59;;1020,2;;93,6;;0;;
01.01.2019;00:00;22,977; ;13,414;;21,084;;0,31540;E;8,54;;1019,4;;89,1;;0;;
01.01.2019;01:00;33,589; ;33,169;;75,792;;0,30676;E;8,67;;1018,7;;84,0;;0;;
01.01.2019;02:00;34,590; ;14,793;;28,167;;0,29993;E;8,56;;1017,8;;82,7;;0;;
01.01.2019;03:00;35,798; ;13,784;;34,134;;0,30026;E;7,96;;1017,0;;91,1;;10;;
01.01.2019;04:00;36,498; ;;*;;*;0,28358;E;7,60;;1016,3;;93,9;;7;;
01.01.2019;05:00;36,590; ;15,886;;22,179;;0,27777;E;7,63;;1015,2;;91,2;;0;;
01.01.2019;06:00;36,138; ;8,001;;14,956;;0,27258;E;7,43;;1014,3;;89,1;;4;;
01.01.2019;07:00;35,380; ;7,305;;10,168;;0,27446;E;6,82;;1013,4;;93,5;;18;;
01.01.2019;08:00;34,545; ;9,259;;13,974;;0,27641;E;6,60;;1012,4;;96,4;;11;;
01.01.2019;09:00;34,166; ;8,419;;11,523;;0,26706;E;6,79;;1011,9;;96,0;;13;;
01.01.2019;10:00;34,473; ;10,435;;15,788;;0,26169;E;6,85;;1011,5;;98,3;;42;;
01.01.2019;11:00;34,701; ;8,369;;13,460;;0,25430;E;7,13;;1011,2;;98,3;;31;;
01.01.2019;12:00;34,933; ;9,223;;18,317;;0,25171;E;7,43;;1011,2;;95,0;;11;;
01.01.2019;13:00;35,402; ;9,749;;21,261;;0,25318;E;7,59;;1010,8;;82,9;;0;;
01.01.2019;14:00;35,920; ;8,726;;19,023;;0,25606;E;7,65;;1010,4;;74,0;;0;;
01.01.2019;15:00;36,366; ;13,966;;26,099;;0,26172;E;7,58;;1010,1;;72,6;;7;;
01.01.2019;16:00;36,183; ;7,624;;23,086;;0,27118;E;6,83;;1009,7;;76,5;;7;;
01.01.2019;17:00;35,759; ;6,732;;18,300;;0,27726;E;6,23;;1010,0;;77,5;;0;;
01.01.2019;18:00;35,465; ;10,512;;20,537;;0,28364;E;4,75;;1010,4;;85,3;;16;;
01.01.2019;19:00;35,090; ;9,294;;24,221;;0,28685;E;4,79;;1010,8;;81,1;;0;;
01.01.2019;20:00;34,982; ;10,433;;18,886;;0,29307;E;4,73;;1010,8;;77,3;;0;;
01.01.2019;21:00;34,722; ;8,240;;14,319;;0,29791;E;4,28;;1010,9;;80,2;;24;;
01.01.2019;22:00;33,630; ;7,036;;14,351;;0,30410;E;3,16;;1011,2;;88,8;;12;;
01.01.2019;23:00;32,849; ;7,941;;15,927;;0,30178;E;2,92;;1011,5;;86,0;;0;;
02.01.2019;00:00;32,513; ;6,997;;11,687;;0,29600;E;2,76;;1011,3;;85,4;;0;;
02.01.2019;01:00;21,969; ;4,246;;7,527;;0,27932;E;3,30;;1011,8;;85,5;;7;;
02.01.2019;02:00;20,866; ;4,907;;6,472;;0,26168;E;3,35;;1012,4;;88,6;;10;;
02.01.2019;03:00;19,626; ;5,580;;7,162;;0,24459;E;3,43;;1013,0;;88,3;;0;;
02.01.2019;04:00;18,947; ;4,516;;5,921;;0,22751;E;3,45;;1013,9;;87,5;;0;;
02.01.2019;05:00;18,919; ;;*;;*;0,21121;E;3,25;;1014,5;;84,6;;0;;
02.01.2019;06:00;18,979; ;11,201;;25,449;;0,20869;E;3,21;;1015,1;;81,1;;0;;
02.01.2019;07:00;18,888; ;8,675;;42,336;;0,21605;E;3,24;;1015,6;;80,6;;0;;
02.01.2019;08:00;18,925; ;32,817;;72,282;;0,22356;E;3,09;;1016,4;;82,8;;0;;
02.01.2019;09:00;18,657; ;30,435;;75,382;;0,24405;E;3,02;;1017,4;;81,0;;0;;
02.01.2019;10:00;18,029; ;29,928;;77,196;;0,26408;E;3,02;;1018,3;;73,9;;0;;
02.01.2019;11:00;17,544; ;28,590;;82,411;;0,28705;E;3,57;;1019,3;;64,4;;0;;
02.01.2019;12:00;17,310; ;28,336;;87,964;;0,31288;E;3,99;;1020,0;;58,0;;0;;
02.01.2019;13:00;16,859; ;35,114;;88,120;;0,34864;E;4,18;;1020,4;;54,3;;0;;
02.01.2019;14:00;16,406; ;33,953;;86,380;;0,36206;E;4,32;;1020,8;;51,3;;0;;
02.01.2019;15:00;15,979; ;38,783;;90,686;;0,35906;E;4,19;;1021,4;;50,5;;0;;
02.01.2019;16:00;15,569; ;48,869;;111,165;;0,34273;E;3,99;;1021,9;;50,7;;0;;
02.01.2019;17:00;15,349; ;45,364;;110,891;;0,32715;E;3,52;;1022,7;;53,1;;0;;
02.01.2019;18:00;15,215; ;43,863;;100,820;;0,30828;E;3,16;;1023,6;;54,3;;0;;
02.01.2019;19:00;14,941; ;50,932;;117,737;;0,29298;E;2,53;;1024,2;;56,8;;0;;
02.01.2019;20:00;14,572; ;44,047;;74,673;;0,25855;E;1,75;;1024,7;;60,9;;0;;
02.01.2019;21:00;14,227; ;42,623;;72,467;;0,20636;E;1,17;;1025,1;;64,3;;0;;
02.01.2019;22:00;14,044; ;28,721;;54,889;;0,15746;E;0,86;;1025,3;;66,2;;0;;
02.01.2019;23:00;13,899; ;27,682;;47,915;;0,11429;E;0,52;;1025,3;;67,7;;0;;
03.01.2019;00:00;13,670; ;36,005;;59,521;;0,08954;E;0,02;;1025,2;;70,3;;0;;
03.01.2019;01:00;13,220; ;32,467;;48,230;;0,08404;E;-0,21;;1025,4;;70,8;;0;;
03.01.2019;02:00;12,758; ;17,504;;23,872;;0,07202;E;-0,64;;1025,7;;72,3;;0;;
03.01.2019;03:00;12,280; ;15,341;;19,253;;0,05042;E;-0,89;;1026,0;;74,4;;0;;
03.01.2019;04:00;11,787; ;18,302;;23,559;;0,06784;E;-1,16;;1026,0;;76,8;;0;;
03.01.2019;05:00;11,289; ;23,983;;36,477;;0,09396;E;-1,43;;1025,7;;79,4;;0;;
03.01.2019;06:00;10,954; ;40,523;;95,073;;0,16704;E;-1,54;;1025,6;;81,2;;0;;
03.01.2019;07:00;10,691; ;59,821;;164,424;;0,26198;E;-1,63;;1025,6;;82,5;;0;;
03.01.2019;08:00;10,348; ;64,738;;215,084;;0,37342;E;-1,64;;1025,6;;83,2;;0;;
03.01.2019;09:00;10,203; ;70,268;;212,701;;0,46654;E;-1,56;;1026,0;;84,3;;0;;
03.01.2019;10:00;10,526; ;53,456;;190,688;;0,58853;E;-1,10;;1026,4;;84,7;;0;;
03.01.2019;11:00;10,573; ;;*;;*;0,58853;E;;*;;*;;*;;*;
03.01.2019;12:00;11,886; ;55,381;;155,908;;0,62369; ;0,90;;1026,3;;92,2;;0;;
03.01.2019;13:00;13,056; ;46,948;;140,373;;0,65320; ;1,60;;1026,0;;90,5;;0;;
03.01.2019;14:00;13,783; ;51,150;;152,865;;0,63436; ;2,43;;1025,8;;84,2;;0;;
03.01.2019;15:00;14,339; ;59,922;;162,448;;0,61582; ;2,88;;1025,9;;80,6;;0;;
03.01.2019;16:00;15,004; ;69,049;;174,472;;0,58889;E;2,87;;1026,0;;82,1;;0;;
03.01.2019;17:00;15,800; ;67,910;;182,847;;0,57056;E;2,47;;1026,0;;87,3;;0;;
03.01.2019;18:00;16,416; ;59,081;;149,177;;0,48855;E;2,01;;1026,6;;91,6;;0;;
03.01.2019;19:00;17,047; ;56,170;;113,401;;0,47109;E;1,56;;1026,6;;93,7;;0;;
03.01.2019;20:00;17,698; ;48,542;;103,932;;0,45334;E;1,16;;1026,5;;94,3;;0;;
03.01.2019;21:00;18,290; ;53,453;;135,052;;0,44350;E;0,87;;1027,0;;93,5;;0;;
03.01.2019;22:00;18,827; ;42,208;;82,537;;0,43239;E;0,89;;1027,1;;92,2;;0;;
03.01.2019;23:00;19,347; ;;*;;*;0,39601;E;0,76;;1027,1;;91,6;;0;;
04.01.2019;00:00;19,841; ;27,719;;53,351;;0,35559;E;0,56;;1026,8;;91,4;;0;;
04.01.2019;01:00;20,222; ;28,372;;43,887;;0,31148;E;0,28;;1026,5;;91,7;;0;;
04.01.2019;02:00;20,621; ;27,636;;36,950;;0,30843;E;0,09;;1026,5;;91,6;;0;;
04.01.2019;03:00;21,183; ;27,129;;32,897;;0,30726;E;-0,06;;1026,3;;92,2;;0;;
04.01.2019;04:00;21,764; ;23,775;;31,159;;0,30971;E;-0,05;;1026,2;;92,4;;0;;
04.01.2019;05:00;22,098; ;18,423;;31,378;;0,30957;E;0,38;;1025,8;;91,1;;0;;
04.01.2019;06:00;22,205; ;22,455;;49,589;;0,32764;E;0,63;;1025,0;;90,3;;0;;
04.01.2019;07:00;22,135; ;27,024;;58,028;;0,35427;E;1,12;;1024,4;;91,5;;0;;
04.01.2019;08:00;22,018; ;37,045;;84,726;;0,38514;E;1,67;;1024,1;;93,3;;9;;
04.01.2019;09:00;21,823; ;38,684;;90,583;;0,40137;E;1,90;;1023,8;;93,6;;1;;
04.01.2019;10:00;21,464; ;34,357;;79,183;;0,41332;E;2,08;;1023,3;;94,3;;3;;
04.01.2019;11:00;21,201; ;29,305;;76,480;;0,42710;E;2,07;;1022,7;;98,3;;8;;
04.01.2019;12:00;20,093; ;33,922;;72,442;;0,43442;E;2,78;;1021,8;;98,2;;17;;
04.01.2019;13:00;19,008; ;38,604;;81,956;;0,44270;E;3,08;;1020,6;;97,3;;14;;
04.01.2019;14:00;18,332; ;31,140;;72,743;;0,42873;E;3,28;;1019,4;;96,4;;0;;
04.01.2019;15:00;17,882; ;30,195;;65,032;;0,42260;E;3,47;;1019,0;;96,4;;27;;
04.01.2019;16:00;17,374; ;29,604;;63,463;;0,39901;E;3,60;;1018,6;;97,8;;5;;
04.01.2019;17:00;16,628; ;27,691;;66,421;;0,38942;E;3,82;;1018,5;;98,5;;7;;
04.01.2019;18:00;16,047; ;29,971;;68,321;;0,38001;E;4,01;;1018,1;;99,1;;2;;
04.01.2019;19:00;15,476; ;29,389;;58,790;;0,36412;E;4,26;;1017,9;;99,6;;2;;
04.01.2019;20:00;14,935; ;22,811;;47,117;;0,35612;E;4,53;;1017,7;;99,9;;13;;
04.01.2019;21:00;14,417; ;21,746;;52,771;;0,34927;E;4,90;;1017,7;;99,8;;5;;
04.01.2019;22:00;13,994; ;18,839;;34,622;;0,34138;E;5,33;;1017,2;;98,9;;1;;
04.01.2019;23:00;13,578; ;17,642;;33,597;;0,32956;E;5,52;;1016,6;;99,0;;0;;
05.01.2019;00:00;13,175; ;;*;;*;0,31801;E;5,52;;1016,0;;99,9;;0;;
05.01.2019;01:00;12,747; ;10,374;;18,167;;0,31680;E;5,64;;1015,3;;100,0;;0;;
05.01.2019;02:00;12,246; ;9,125;;14,822;;0,31047;E;5,95;;1014,5;;99,7;;0;;
05.01.2019;03:00;11,433; ;9,015;;14,120;;0,31303;E;6,33;;1013,8;;98,9;;45;;
05.01.2019;04:00;10,553; ;9,452;;13,684;;0,31515;E;6,41;;1013,1;;99,4;;56;;
05.01.2019;05:00;9,758; ;7,693;;10,884;;0,30589;E;6,59;;1012,0;;99,5;;31;;
05.01.2019;06:00;9,026; ;10,969;;17,886;;0,31023;E;6,74;;1011,7;;100,0;;53;;
05.01.2019;07:00;8,352; ;10,766;;25,828;;0,31276;E;6,86;;1011,4;;100,0;;46;;
05.01.2019;08:00;7,648; ;19,490;;32,059;;0,31573;E;7,02;;1011,7;;100,0;;38;;
05.01.2019;09:00;6,920; ;17,638;;33,335;;0,30793;E;7,06;;1012,3;;100,0;;32;;
05.01.2019;10:00;6,277; ;33,948;;60,922;;0,33706;E;7,15;;1012,7;;99,5;;0;;
05.01.2019;11:00;5,688; ;30,791;;64,187;;0,34723;E;7,29;;1013,2;;97,8;;0;;
05.01.2019;12:00;5,284; ;41,009;;78,145;;0,35813;E;7,45;;1013,4;;96,7;;18;;
05.01.2019;13:00;5,016; ;42,269;;81,234;;0,38228;E;7,51;;1013,3;;96,3;;50;;
05.01.2019;14:00;4,775; ;35,077;;71,791;;0,40172;E;7,46;;1013,3;;96,3;;52;;
05.01.2019;15:00;4,475; ;39,293;;81,654;;0,42437;E;7,52;;1013,4;;95,9;;13;;
05.01.2019;16:00;4,225; ;40,286;;97,050;;0,45519;E;7,53;;1014,0;;95,0;;10;;
05.01.2019;17:00;4,320; ;33,854;;75,959;;0,48039;E;7,42;;1014,5;;96,0;;0;;
05.01.2019;18:00;4,574; ;35,421;;71,550;;0,47424;E;7,27;;1014,8;;96,3;;0;;
05.01.2019;19:00;5,029; ;36,044;;86,354;;0,48490;E;7,12;;1015,1;;96,7;;0;;
05.01.2019;20:00;5,372; ;44,055;;91,788;;0,48676;E;7,09;;1015,5;;96,4;;0;;
05.01.2019;21:00;5,867; ;28,306;;56,529;;0,48079;E;7,02;;1015,7;;96,8;;16;;
05.01.2019;22:00;6,257; ;24,810;;54,926;;0,47140;E;6,86;;1015,9;;97,5;;21;;
05.01.2019;23:00;6,540; ;24,831;;46,081;;0,45779;E;6,74;;1016,1;;96,9;;0;;
06.01.2019;00:00;6,814; ;23,984;;44,956;;0,44071;E;6,65;;1016,4;;97,0;;0;;
06.01.2019;01:00;7,264; ;;*;;*;0,41840;E;6,59;;1016,6;;97,5;;0;;
06.01.2019;02:00;7,738; ;14,913;;27,845;;0,39437;E;6,45;;1016,7;;97,2;;0;;
06.01.2019;03:00;8,177; ;13,573;;21,789;;0,36709;E;5,88;;1017,1;;97,6;;22;;
06.01.2019;04:00;8,515; ;9,441;;12,490;;0,34306;E;5,11;;1017,5;;98,4;;18;;
06.01.2019;05:00;8,930; ;13,777;;18,722;;0,33006;E;5,00;;1017,6;;98,2;;4;;
06.01.2019;06:00;9,424; ;20,771;;28,302;;0,33348;E;4,97;;1017,7;;97,7;;0;;
06.01.2019;07:00;9,932; ;17,452;;26,709;;0,33025;E;4,70;;1017,9;;95,8;;0;;
06.01.2019;08:00;10,500; ;26,169;;46,337;;0,32759;E;4,69;;1018,3;;95,0;;0;;
06.01.2019;09:00;11,149; ;32,114;;57,442;;0,34993;E;4,94;;1018,8;;95,0;;0;;
06.01.2019;10:00;11,929; ;38,819;;90,733;;0,42094;E;5,26;;1019,3;;95,9;;0;;
06.01.2019;11:00;12,941; ;31,842;;73,477;;0,47776;E;5,48;;1019,6;;96,0;;0;;
06.01.2019;12:00;13,980; ;30,874;;89,048;;0,55604;E;5,74;;1019,5;;96,1;;0;;
06.01.2019;13:00;14,877; ;41,921;;121,228;;0,63276; ;5,91;;1019,4;;98,0;;4;;
06.01.2019;14:00;15,504; ;36,520;;90,632;;0,68084; ;6,15;;1019,3;;96,8;;0;;
06.01.2019;15:00;15,749; ;44,065;;118,501;;0,73711; ;6,38;;1019,4;;94,1;;1;;
06.01.2019;16:00;15,769; ;43,426;;103,453;;0,78813; ;6,31;;1019,6;;95,9;;0;;
06.01.2019;17:00;15,561; ;45,788;;107,252;;0,80454; ;6,13;;1019,9;;98,4;;0;;
06.01.2019;18:00;15,337; ;46,907;;110,637;;0,79107; ;6,24;;1020,1;;97,7;;0;;
06.01.2019;19:00;14,808; ;37,411;;82,247;;0,76406; ;6,20;;1020,2;;99,2;;6;;
06.01.2019;20:00;14,328; ;32,130;;60,431;;0,70848; ;6,23;;1020,3;;99,9;;17;;
06.01.2019;21:00;13,696; ;28,004;;56,565;;0,64402; ;6,27;;1020,4;;99,5;;2;;
06.01.2019;22:00;13,162; ;30,229;;49,146;;0,59187;E;6,19;;1020,5;;99,2;;15;;
06.01.2019;23:00;12,697; ;20,730;;34,398;;0,53271;E;6,15;;1020,6;;98,5;;0;;
07.01.2019;00:00;12,262; ;16,162;;26,965;;0,47545;E;6,11;;1020,6;;97,5;;12;;
07.01.2019;01:00;11,873; ;11,436;;17,476;;0,42415;E;5,91;;1020,6;;98,1;;55;;
07.01.2019;02:00;11,576; ;;*;;*;0,35215;E;5,87;;1020,7;;98,0;;11;;
07.01.2019;03:00;11,442; ;9,901;;17,722;;0,30744;E;5,88;;1020,9;;97,0;;0;;
07.01.2019;04:00;11,434; ;9,283;;12,009;;0,26980;E;5,82;;1020,9;;96,7;;0;;
07.01.2019;05:00;11,452; ;11,149;;16,389;;0,23467;E;5,87;;1020,7;;96,5;;5;;
07.01.2019;06:00;11,504; ;17,126;;38,178;;0,20341;E;5,86;;1020,4;;95,4;;8;;
07.01.2019;07:00;11,628; ;28,147;;67,148;;0,19059;E;5,73;;1020,2;;95,3;;0;;
07.01.2019;08:00;11,750; ;30,873;;99,651;;0,19022;E;5,80;;1020,3;;92,8;;0;;
07.01.2019;09:00;11,798; ;43,983;;119,458;;0,22399;E;5,75;;1020,5;;92,2;;0;;
07.01.2019;10:00;11,535; ;37,752;;104,196;;0,24861;E;5,65;;1020,3;;90,0;;0;;
07.01.2019;11:00;11,009; ;46,830;;110,335;;0,25873;E;5,67;;1020,2;;88,6;;2;;
07.01.2019;12:00;10,483; ;31,021;;86,284;;0,29114;E;5,37;;1019,7;;93,4;;13;;
07.01.2019;13:00;10,066; ;42,483;;116,529;;0,35477;E;5,28;;1018,9;;96,7;;10;;
