Lufthygienisches ‹berwachungssystem Niedersachsen;
Jadebusen;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
30.12.2018;21:00;11,024; ;9,752;;11,528;;37,664;;5,79;;1029,7;;217,7;;1,32;;100,0;;0;;0,0;;
30.12.2018;22:00;11,204; ;10,228;;10,951;;34,222;;5,49;;1029,3;;207,5;;1,49;;100,0;;0;;0,0;;
30.12.2018;23:00;11,493; ;11,088;;12,127;;31,509;;5,20;;1029,3;;215,3;;1,24;;100,0;;0;;0,1;;
31.12.2018;00:00;11,906; ;;*;;*;;*;5,69;;1029,3;;202,5;;1,21;;100,0;;0;;0,4;;
31.12.2018;01:00;12,689; ;9,823;;10,239;;30,793;;6,42;;1029,2;;196,0;;1,86;;100,0;;16;;0,4;;
31.12.2018;02:00;13,313; ;9,394;;9,749;;30,339;;6,66;;1029,3;;201,8;;1,56;;100,0;;60;;0,4;;
31.12.2018;03:00;13,577; ;9,468;;9,878;;30,919;;6,85;;1029,3;;209,8;;1,65;;100,0;;37;;0,4;;
31.12.2018;04:00;13,573; ;6,711;;7,047;;32,472;;7,11;;1029,3;;226,1;;2,03;;100,0;;10;;0,4;;
31.12.2018;05:00;13,612; ;7,412;;7,842;;29,492;;7,47;;1029,1;;247,0;;2,13;;100,0;;0;;0,4;;
31.12.2018;06:00;13,788; ;7,676;;8,122;;36,896;;7,81;;1029,2;;271,3;;2,36;;100,0;;0;;0,4;;
31.12.2018;07:00;13,609; ;5,907;;6,376;;49,439;;7,83;;1029,6;;286,3;;2,26;;100,0;;2;;0,4;;
31.12.2018;08:00;13,353; ;7,431;;8,660;;51,590;;7,68;;1030,0;;275,6;;2,64;;100,0;;0;;0,4;;
31.12.2018;09:00;13,086; ;5,827;;7,251;;50,588;;7,75;;1030,5;;266,9;;3,06;;100,0;;0;;2,1;;
31.12.2018;10:00;12,933; ;9,342;;11,631;;45,198;;7,95;;1030,7;;260,3;;2,59;;100,0;;0;;17,4;;
31.12.2018;11:00;12,904; ;8,421;;10,909;;42,828;;8,17;;1030,8;;257,5;;3,15;;100,0;;0;;45,5;;
31.12.2018;12:00;13,051; ;9,057;;12,121;;40,802;;8,57;;1030,6;;249,5;;3,48;;100,0;;0;;84,9;;
31.12.2018;13:00;13,096; ;7,807;;10,400;;43,075;;9,00;;1030,2;;255,7;;4,09;;100,0;;0;;94,8;;
31.12.2018;14:00;13,184; ;6,977;;9,925;;47,570;;8,95;;1029,9;;259,9;;4,25;;100,0;;0;;76,3;;
31.12.2018;15:00;13,265; ;5,631;;7,935;;48,414;;9,12;;1029,6;;249,5;;4,29;;99,7;;0;;62,4;;
31.12.2018;16:00;13,144; ;7,833;;9,392;;49,553;;8,80;;1029,6;;267,9;;4,88;;98,7;;0;;25,2;;
31.12.2018;17:00;13,028; ;7,218;;8,856;;46,956;;8,23;;1029,4;;257,7;;4,33;;99,8;;0;;1,8;;
31.12.2018;18:00;12,876; ;6,187;;7,333;;49,743;;7,94;;1029,2;;249,4;;5,11;;99,8;;0;;0,1;;
31.12.2018;19:00;12,719; ;7,380;;8,078;;45,440;;8,26;;1028,8;;253,5;;5,40;;99,3;;0;;0,5;;
31.12.2018;20:00;12,523; ;4,306;;4,792;;56,366;;8,33;;1028,6;;257,0;;6,89;;96,1;;0;;0,4;;
31.12.2018;21:00;12,278; ;4,795;;5,129;;54,048;;8,45;;1028,4;;252,2;;5,46;;93,9;;0;;0,0;;
31.12.2018;22:00;12,167; ;6,069;;6,830;;50,821;;8,39;;1027,7;;244,9;;6,22;;94,2;;0;;0,0;;
31.12.2018;23:00;12,078; ;5,508;;5,867;;51,971;;8,26;;1027,2;;253,1;;6,28;;93,8;;0;;0,0;;
01.01.2019;00:00;11,758; ;5,053;;5,365;;55,712;;8,16;;1026,4;;248,3;;6,16;;90,4;;0;;0,0;;
01.01.2019;01:00;11,229; ;;*;;*;;*;8,07;;1025,5;;244,9;;6,54;;89,3;;0;;0,0;;
01.01.2019;02:00;10,925; ;5,822;;6,296;;54,169;;8,07;;1024,6;;245,3;;6,85;;89,0;;0;;0,0;;
01.01.2019;03:00;11,012; ;6,318;;6,721;;53,399;;7,98;;1023,9;;248,8;;7,46;;88,9;;0;;0,0;;
01.01.2019;04:00;11,280; ;5,832;;6,192;;54,721;;8,29;;1023,3;;253,9;;8,68;;88,4;;0;;0,0;;
01.01.2019;05:00;11,320; ;5,046;;5,408;;56,228;;8,03;;1022,3;;256,3;;9,04;;94,0;;0;;0,1;;
01.01.2019;06:00;11,185; ;4,928;;5,289;;56,913;;7,81;;1021,5;;262,4;;8,70;;99,6;;0;;0,6;;
01.01.2019;07:00;11,251; ;4,997;;5,691;;56,537;;7,96;;1021,0;;269,0;;7,55;;100,0;;3;;0,6;;
01.01.2019;08:00;11,489; ;4,239;;4,604;;59,949;;8,14;;1020,9;;279,6;;6,68;;99,9;;44;;0,6;;
01.01.2019;09:00;12,128; ;2,650;;2,889;;70,478;;7,52;;1021,0;;291,3;;5,26;;93,7;;0;;2,0;;
01.01.2019;10:00;12,716; ;2,512;;2,794;;71,864;;7,11;;1021,5;;294,7;;4,57;;86,2;;0;;29,9;;
01.01.2019;11:00;13,071; ;2,960;;3,659;;69,633;;7,49;;1021,6;;286,4;;5,37;;84,4;;0;;80,6;;
01.01.2019;12:00;13,213; ;3,450;;4,076;;68,340;;7,82;;1021,3;;284,6;;6,60;;83,8;;0;;139,6;;
01.01.2019;13:00;13,397; ;2,446;;3,218;;70,892;;8,13;;1020,5;;287,3;;7,20;;78,6;;0;;144,4;;
01.01.2019;14:00;13,529; ;2,133;;2,413;;73,306;;7,32;;1020,5;;301,1;;6,64;;82,0;;10;;115,9;;
01.01.2019;15:00;13,612; ;2,033;;2,297;;76,180;;6,27;;1020,8;;306,2;;7,42;;82,8;;17;;46,1;;
01.01.2019;16:00;13,978; ;2,738;;2,981;;77,003;;6,34;;1021,2;;311,5;;6,20;;78,5;;7;;17,0;;
01.01.2019;17:00;14,280; ;2,082;;2,335;;79,185;;5,82;;1021,4;;315,7;;7,49;;75,1;;25;;0,6;;
01.01.2019;18:00;14,654; ;2,186;;2,335;;77,770;;5,72;;1022,0;;317,8;;7,33;;72,1;;23;;0,0;;
01.01.2019;19:00;14,786; ;2,389;;2,626;;74,931;;4,64;;1022,6;;319,5;;7,61;;78,9;;25;;0,0;;
01.01.2019;20:00;14,975; ;2,044;;2,225;;76,981;;5,00;;1022,8;;319,0;;8,80;;74,3;;4;;0,0;;
01.01.2019;21:00;15,404; ;2,133;;2,312;;80,826;;5,49;;1022,7;;319,2;;8,88;;68,9;;6;;0,0;;
01.01.2019;22:00;15,682; ;2,597;;3,305;;79,154;;5,70;;1023,0;;321,5;;8,88;;68,0;;0;;0,0;;
01.01.2019;23:00;16,010; ;2,861;;3,029;;76,608;;6,33;;1023,2;;323,3;;8,32;;69,3;;0;;0,0;;
02.01.2019;00:00;16,507; ;3,099;;3,359;;75,912;;6,66;;1023,6;;331,5;;8,55;;68,0;;0;;0,0;;
02.01.2019;01:00;16,947; ;3,192;;3,396;;75,580;;6,68;;1024,2;;335,2;;7,92;;71,1;;3;;0,0;;
02.01.2019;02:00;17,558; ;;*;;*;;*;6,82;;1025,0;;339,3;;8,01;;73,0;;0;;0,0;;
02.01.2019;03:00;18,125; ;2,691;;2,858;;75,747;;6,59;;1025,9;;343,2;;7,56;;74,5;;0;;0,0;;
02.01.2019;04:00;18,604; ;3,145;;3,452;;75,576;;6,40;;1026,8;;340,9;;6,99;;74,3;;0;;0,0;;
02.01.2019;05:00;19,052; ;2,724;;2,937;;77,539;;6,41;;1027,4;;343,6;;7,91;;67,4;;1;;0,0;;
02.01.2019;06:00;19,506; ;2,530;;2,730;;78,329;;6,05;;1027,8;;346,6;;7,93;;67,4;;0;;0,0;;
02.01.2019;07:00;19,926; ;3,017;;3,348;;75,566;;5,80;;1028,5;;349,4;;7,67;;69,4;;0;;0,0;;
02.01.2019;08:00;20,087; ;2,179;;2,445;;75,442;;5,67;;1029,5;;357,5;;7,58;;63,6;;0;;0,0;;
02.01.2019;09:00;19,683; ;2,163;;2,372;;76,972;;5,44;;1030,7;;3,5;;7,06;;56,4;;0;;1,2;;
02.01.2019;10:00;19,135; ;2,033;;2,278;;78,540;;5,48;;1031,9;;7,4;;7,02;;54,2;;0;;53,0;;
02.01.2019;11:00;18,616; ;2,344;;2,884;;79,124;;5,58;;1033,0;;8,7;;6,72;;52,7;;0;;120,9;;
02.01.2019;12:00;18,105; ;1,957;E;2,210;;79,702;;5,73;;1033,6;;7,8;;6,36;;52,9;;0;;183,0;;
02.01.2019;13:00;17,636; ;2,154;;2,471;;79,814;;5,86;;1034,0;;12,3;;6,68;;49,2;;0;;132,8;;
02.01.2019;14:00;17,230; ;2,122;;2,417;;79,953;;6,16;;1034,3;;5,4;;5,72;;48,2;;0;;152,0;;
02.01.2019;15:00;16,906; ;3,444;;3,880;;78,396;;6,03;;1034,9;;3,5;;5,32;;49,2;;0;;142,5;;
02.01.2019;16:00;16,468; ;2,163;;2,367;;78,283;;5,32;;1035,3;;1,9;;4,10;;52,4;;0;;58,3;;
02.01.2019;17:00;16,106; ;3,102;;3,390;;77,247;;4,38;;1035,5;;347,3;;3,19;;55,7;;0;;1,4;;
02.01.2019;18:00;15,706; ;4,673;;4,940;;74,983;;3,82;;1035,7;;334,6;;2,32;;61,7;;0;;0,0;;
02.01.2019;19:00;15,565; ;9,606;;10,875;;64,510;;2,85;;1035,7;;324,5;;1,46;;69,7;;0;;0,0;;
02.01.2019;20:00;15,510; ;18,722;;25,804;;39,569;;0,51;;1036,0;;267,1;;0,50;;79,7;;0;;0,0;;
02.01.2019;21:00;15,379; ;16,631;;19,355;;30,094;;-1,03;;1036,1;;231,8;;1,09;;87,5;;0;;0,0;;
02.01.2019;22:00;15,383; ;22,193;;26,812;;25,607;;-1,82;;1036,2;;235,9;;0,67;;90,8;;0;;0,0;;
02.01.2019;23:00;15,389; ;28,937;;38,058;;16,883;;-2,14;;1035,9;;233,5;;0,67;;93,0;;0;;0,0;;
03.01.2019;00:00;15,559; ;27,559;;28,679;;13,609;;-2,16;;1035,5;;221,8;;0,84;;94,7;;0;;0,0;;
03.01.2019;01:00;15,370; ;21,815;;23,713;;23,951;;-1,20;;1035,7;;311,0;;0,92;;97,0;;5;;0,9;;
03.01.2019;02:00;14,488; ;6,542;;6,894;;55,648;;1,77;;1035,7;;318,5;;0,97;;96,4;;27;;0,1;;
03.01.2019;03:00;13,388; ;;*;;*;;*;0,53;;1035,4;;250,5;;1,42;;99,4;;0;;0,0;;
03.01.2019;04:00;12,377; ;2,906;;3,138;;68,721;;2,33;;1035,5;;315,2;;2,07;;97,7;;0;;0,1;;
03.01.2019;05:00;11,683; ;3,363;;3,601;;71,993;;3,00;;1035,4;;327,3;;1,97;;92,5;;0;;0,0;;
03.01.2019;06:00;11,109; ;5,939;;6,179;;68,550;;3,18;;1035,3;;325,3;;2,19;;91,8;;4;;0,0;;
03.01.2019;07:00;10,622; ;3,824;;4,243;;71,906;;3,25;;1035,3;;318,1;;2,16;;90,3;;0;;0,0;;
03.01.2019;08:00;10,294; ;5,841;;6,993;;68,372;;2,84;;1035,4;;298,4;;1,87;;91,4;;0;;0,0;;
03.01.2019;09:00;10,170; ;14,724;;18,762;;51,248;;2,13;;1035,9;;300,2;;1,11;;97,2;;12;;2,2;;
03.01.2019;10:00;10,080; ;5,705;;6,086;;74,002;;3,77;;1036,2;;339,8;;3,28;;90,4;;15;;18,4;;
03.01.2019;11:00;10,179; ;;*;;*;;*;;*;;*;;*;;*;;*;;*;;*;
03.01.2019;12:00;10,236; ;6,431;;7,428;;73,810;;5,35;;1036,3;;0,1;;3,40;;80,2;;0;;138,9;;
03.01.2019;13:00;10,249; ;5,192;;6,176;;75,707;;5,80;;1036,3;;11,2;;3,49;;75,0;;0;;134,0;;
03.01.2019;14:00;10,238; ;5,505;;6,360;;76,369;;5,84;;1036,3;;19,1;;3,02;;72,9;;0;;159,2;;
03.01.2019;15:00;10,251; ;5,447;;5,949;;75,863;;4,93;;1036,5;;14,6;;2,53;;73,6;;0;;89,1;;
03.01.2019;16:00;10,257; ;6,108;;6,516;;72,552;;4,06;;1036,7;;342,8;;2,00;;76,3;;0;;34,2;;
03.01.2019;17:00;10,282; ;11,362;;11,673;;65,627;;3,23;;1037,0;;343,5;;1,46;;80,0;;0;;2,6;;
03.01.2019;18:00;10,225; ;9,213;;9,893;;65,487;;2,46;;1037,4;;325,3;;1,48;;81,6;;0;;0,0;;
03.01.2019;19:00;10,143; ;15,089;;16,823;;55,824;;1,74;;1037,5;;342,5;;1,03;;87,8;;0;;0,0;;
03.01.2019;20:00;9,993; ;22,250;;30,210;;40,457;;0,74;;1037,6;;315,3;;0,44;;92,5;;0;;0,0;;
03.01.2019;21:00;9,806; ;16,872;;20,635;;31,983;;-0,73;;1037,5;;286,5;;0,76;;97,6;;0;;0,0;;
03.01.2019;22:00;9,652; ;12,665;;13,953;;32,261;;-0,75;;1037,5;;225,0;;0,69;;98,8;;0;;0,0;;
03.01.2019;23:00;9,500; ;23,700;;25,263;;12,123;;-1,96;;1037,1;;224,2;;1,26;;99,6;;0;;0,0;;
04.01.2019;00:00;9,302; ;20,487;;21,194;;14,957;;-1,69;;1036,8;;220,1;;1,22;;100,0;;0;;0,0;;
04.01.2019;01:00;9,296; ;18,719;;19,797;;20,321;;-0,94;;1036,3;;214,3;;1,59;;100,0;;0;;0,0;;
04.01.2019;02:00;9,494; ;15,041;;15,583;;25,832;;-0,36;;1036,1;;238,3;;2,03;;100,0;;0;;0,3;;
04.01.2019;03:00;9,605; ;12,452;;13,312;;41,871;;1,80;;1035,9;;266,8;;1,75;;99,4;;0;;0,1;;
04.01.2019;04:00;9,504; ;;*;;*;;*;2,75;;1035,5;;260,1;;2,24;;97,5;;0;;0,0;;
04.01.2019;05:00;9,332; ;3,296;;3,643;;58,429;;3,60;;1034,8;;267,7;;2,52;;94,5;;3;;0,0;;
04.01.2019;06:00;9,088; ;1,958;E;2,260;;70,689;;4,00;;1034,1;;293,3;;2,76;;98,6;;8;;0,0;;
04.01.2019;07:00;8,954; ;3,022;;3,985;;70,729;;4,39;;1033,6;;286,6;;3,28;;98,1;;6;;0,0;;
04.01.2019;08:00;8,938; ;4,221;;5,133;;71,294;;4,52;;1033,3;;291,8;;4,21;;97,9;;8;;0,0;;
04.01.2019;09:00;8,993; ;2,156;;2,552;;72,891;;4,73;;1033,0;;292,2;;4,58;;94,2;;0;;0,9;;
04.01.2019;10:00;9,165; ;3,644;;4,639;;69,765;;4,96;;1032,7;;283,6;;4,15;;89,5;;0;;9,6;;
04.01.2019;11:00;9,381; ;3,482;;4,170;;66,533;;5,44;;1032,4;;295,1;;3,85;;88,5;;0;;13,8;;
04.01.2019;12:00;9,538; ;2,978;;3,306;;67,067;;5,65;;1031,7;;304,3;;4,53;;86,8;;0;;19,1;;
04.01.2019;13:00;9,884; ;3,012;;3,357;;65,186;;5,44;;1030,8;;302,7;;4,37;;91,4;;15;;19,2;;
04.01.2019;14:00;10,293; ;3,174;;3,518;;68,906;;5,34;;1030,5;;309,8;;3,93;;97,7;;46;;28,3;;
04.01.2019;15:00;10,561; ;3,795;;4,247;;66,757;;5,71;;1030,2;;302,9;;3,70;;98,6;;53;;34,8;;
04.01.2019;16:00;10,646; ;4,773;;5,568;;63,242;;5,89;;1029,8;;303,2;;3,55;;100,0;;54;;14,0;;
04.01.2019;17:00;10,815; ;5,147;;5,878;;61,419;;6,24;;1029,7;;293,8;;3,50;;100,0;;16;;1,0;;
04.01.2019;18:00;11,082; ;5,149;;5,774;;59,784;;6,31;;1029,3;;293,8;;3,90;;100,0;;0;;0,0;;
04.01.2019;19:00;11,315; ;4,756;;5,396;;59,848;;6,66;;1029,3;;299,2;;3,65;;98,5;;1;;0,1;;
04.01.2019;20:00;11,458; ;2,887;;3,149;;62,717;;6,69;;1029,3;;303,6;;4,12;;99,6;;42;;0,1;;
04.01.2019;21:00;11,422; ;3,287;;3,619;;61,635;;6,53;;1029,1;;294,5;;4,27;;100,0;;31;;0,3;;
04.01.2019;22:00;11,188; ;3,450;;3,868;;61,132;;6,58;;1028,3;;292,6;;3,97;;100,0;;60;;0,4;;
04.01.2019;23:00;10,775; ;3,993;;4,325;;61,247;;6,82;;1027,7;;293,4;;4,37;;100,0;;35;;0,4;;
05.01.2019;00:00;10,184; ;3,308;;3,631;;61,918;;7,01;;1027,4;;294,9;;4,65;;100,0;;31;;0,4;;
05.01.2019;01:00;9,719; ;3,248;;3,569;;63,479;;7,20;;1026,8;;297,6;;4,87;;100,0;;60;;0,4;;
05.01.2019;02:00;9,351; ;2,911;;3,152;;64,832;;7,31;;1025,9;;296,4;;5,36;;100,0;;60;;0,6;;
05.01.2019;03:00;9,409; ;4,261;;4,564;;68,159;;7,46;;1025,3;;306,2;;6,23;;100,0;;49;;0,7;;
05.01.2019;04:00;9,667; ;2,795;;3,008;;73,211;;7,60;;1024,8;;313,9;;6,59;;100,0;;27;;0,7;;
05.01.2019;05:00;9,944; ;;*;;*;;*;7,71;;1024,4;;317,5;;7,49;;100,0;;38;;0,6;;
05.01.2019;06:00;10,546; ;3,077;;3,302;;74,934;;7,85;;1024,1;;319,0;;7,21;;99,4;;0;;0,8;;
05.01.2019;07:00;11,123; ;2,640;;2,860;;76,254;;7,99;;1024,1;;323,4;;6,81;;96,6;;0;;0,3;;
05.01.2019;08:00;11,627; ;2,870;;3,144;;75,663;;7,72;;1024,3;;323,1;;6,32;;99,7;;21;;0,2;;
05.01.2019;09:00;11,814; ;3,429;;3,666;;76,232;;7,58;;1024,7;;324,2;;6,29;;100,0;;60;;1,4;;
05.01.2019;10:00;11,786; ;3,873;;4,155;;76,274;;7,59;;1024,8;;320,7;;6,23;;100,0;;36;;14,0;;
05.01.2019;11:00;11,638; ;5,689;;6,001;;73,776;;7,60;;1025,0;;327,1;;6,03;;100,0;;14;;26,3;;
05.01.2019;12:00;11,597; ;4,942;;5,273;;73,633;;7,65;;1025,1;;325,9;;5,70;;100,0;;57;;34,1;;
